time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-6.4,-14.1,-8.6,0.2,18.4,71,0.14,0.0,72,BABIA_GORA
2020-01-02,0.9,-13.4,-7.1,0.0,14.4,3,0.0,24673.08,30,BABIA_GORA
2020-01-03,-2.0,-9.0,-5.7,0.0,21.4,3,0.0,24888.58,25,BABIA_GORA
2020-01-04,-4.9,-8.4,-6.3,7.2,21.0,75,4.97,11940.59,93,BABIA_GORA
2020-01-05,-8.6,-12.0,-10.7,5.1,22.8,73,3.57,4589.18,93,BABIA_GORA
2020-01-06,-7.9,-19.1,-12.4,0.0,9.1,3,0.0,1683.84,90,BABIA_GORA
2020-01-07,-6.4,-13.9,-11.5,0.0,13.0,3,0.0,25332.43,17,BABIA_GORA
2020-01-08,-5.2,-11.0,-7.8,1.8,15.3,55,0.0,21168.9,87,BABIA_GORA
2020-01-09,-1.3,-5.4,-3.8,4.6,14.5,55,0.0,7200.0,95,BABIA_GORA
2020-01-10,-2.1,-6.5,-4.9,0.0,14.4,3,0.0,25677.4,60,BABIA_GORA
2020-01-11,-4.8,-6.4,-5.8,3.3,18.1,73,2.31,0.0,96,BABIA_GORA
2020-01-12,-3.8,-8.5,-6.6,0.1,20.4,71,0.07,25660.86,74,BABIA_GORA
2020-01-13,-4.1,-8.1,-6.3,0.0,19.7,3,0.0,16718.62,92,BABIA_GORA
2020-01-14,-5.0,-8.7,-7.0,0.0,17.2,3,0.0,24289.17,73,BABIA_GORA
2020-01-15,-1.0,-8.7,-5.8,0.0,25.2,3,0.0,26346.44,47,BABIA_GORA
2020-01-16,-0.5,-8.0,-4.5,0.0,22.1,3,0.0,12943.85,66,BABIA_GORA
2020-01-17,-0.6,-8.4,-5.0,0.0,24.1,3,0.0,22456.78,63,BABIA_GORA
2020-01-18,-2.8,-8.6,-6.2,0.2,19.0,71,0.14,22547.47,75,BABIA_GORA
2020-01-19,-6.1,-7.4,-6.9,9.2,12.5,73,6.44,334.2,100,BABIA_GORA
2020-01-20,-6.0,-9.3,-7.2,1.1,8.6,71,0.77,3831.35,99,BABIA_GORA
2020-01-21,-2.6,-15.1,-9.5,0.0,10.5,3,0.0,27321.2,36,BABIA_GORA
2020-01-22,-4.8,-11.9,-8.5,0.9,15.0,71,0.63,14118.51,69,BABIA_GORA
2020-01-23,-7.1,-14.4,-9.7,0.0,16.1,3,0.0,12959.74,65,BABIA_GORA
2020-01-24,-3.1,-12.1,-8.8,0.0,17.0,3,0.0,27865.16,21,BABIA_GORA
2020-01-25,-1.6,-13.3,-8.2,0.0,10.5,2,0.0,28052.8,27,BABIA_GORA
2020-01-26,-2.4,-14.4,-9.3,0.0,8.3,3,0.0,28214.21,69,BABIA_GORA
2020-01-27,-1.1,-11.8,-7.9,0.0,10.1,3,0.0,24992.31,30,BABIA_GORA
2020-01-28,-4.1,-7.5,-6.1,0.9,20.2,71,0.63,11486.6,98,BABIA_GORA
2020-01-29,-6.1,-9.6,-7.9,0.8,22.4,73,0.56,28047.45,77,BABIA_GORA
2020-01-30,-4.6,-9.6,-6.8,1.5,21.3,73,1.05,14764.87,92,BABIA_GORA
2020-01-31,-0.7,-6.5,-3.3,6.3,24.3,73,0.91,7616.01,96,BABIA_GORA
2020-02-01,2.2,-3.0,-0.5,0.0,20.1,3,0.0,11819.59,90,BABIA_GORA
2020-02-02,-0.0,-2.8,-1.5,10.6,25.0,61,0.0,20320.52,90,BABIA_GORA
2020-02-03,-0.9,-4.6,-2.9,19.9,23.0,75,4.41,1085.31,97,BABIA_GORA
2020-02-04,-3.2,-7.9,-5.4,27.6,27.0,75,18.62,0.0,100,BABIA_GORA
2020-02-05,-7.9,-14.2,-9.9,6.8,27.4,75,4.83,12597.47,74,BABIA_GORA
2020-02-06,-7.8,-13.0,-10.3,4.4,17.7,73,3.08,0.0,95,BABIA_GORA
2020-02-07,-6.1,-15.0,-8.5,12.2,15.9,73,8.54,0.0,89,BABIA_GORA
2020-02-08,-4.1,-16.4,-10.6,0.0,10.7,3,0.0,30717.13,12,BABIA_GORA
2020-02-09,-2.1,-10.3,-7.1,0.0,26.3,3,0.0,31055.14,23,BABIA_GORA
2020-02-10,-0.8,-7.0,-4.2,3.0,30.5,73,0.98,18472.69,78,BABIA_GORA
2020-02-11,-5.1,-8.7,-6.5,7.1,28.3,75,4.97,23066.48,61,BABIA_GORA
2020-02-12,-6.7,-9.8,-8.4,2.5,24.2,73,1.82,25094.79,61,BABIA_GORA
2020-02-13,-5.3,-11.7,-8.5,0.1,22.7,71,0.07,30591.84,48,BABIA_GORA
2020-02-14,-4.4,-5.9,-5.1,4.6,23.4,73,3.01,0.0,100,BABIA_GORA
2020-02-15,-2.4,-8.5,-5.8,0.5,16.9,71,0.35,29362.94,81,BABIA_GORA
2020-02-16,0.1,-6.9,-3.9,0.0,28.1,3,0.0,29272.48,82,BABIA_GORA
2020-02-17,4.4,-3.8,-1.4,0.0,27.4,3,0.0,24497.98,84,BABIA_GORA
2020-02-18,-1.4,-8.5,-3.5,2.6,17.9,53,0.0,32203.12,57,BABIA_GORA
2020-02-19,-1.6,-9.3,-6.2,3.8,21.5,75,2.59,28391.04,58,BABIA_GORA
2020-02-20,-5.3,-10.1,-7.5,2.6,14.3,73,1.82,14321.6,77,BABIA_GORA
2020-02-21,-5.6,-9.5,-7.3,11.9,23.7,75,8.47,6232.79,76,BABIA_GORA
2020-02-22,-3.3,-14.1,-6.8,0.5,21.4,71,0.21,27812.7,76,BABIA_GORA
2020-02-23,1.1,-3.1,-1.9,14.2,27.7,63,0.0,516.18,99,BABIA_GORA
2020-02-24,1.1,-8.8,-5.6,12.0,37.2,75,5.25,2230.67,78,BABIA_GORA
2020-02-25,0.6,-5.6,-2.0,4.2,21.1,71,0.28,106.62,98,BABIA_GORA
2020-02-26,-1.8,-7.8,-3.7,2.8,18.3,73,0.42,186.06,95,BABIA_GORA
2020-02-27,-4.4,-10.5,-7.7,4.0,16.6,75,2.8,25679.94,76,BABIA_GORA
2020-02-28,-6.0,-9.0,-8.0,7.8,19.3,73,5.46,16483.74,96,BABIA_GORA
2020-02-29,-3.3,-14.9,-7.4,0.5,27.2,71,0.35,21600.0,79,BABIA_GORA
2020-03-01,-2.2,-5.3,-4.0,0.4,27.0,71,0.28,3878.48,97,BABIA_GORA
2020-03-02,-0.7,-4.2,-3.1,3.3,24.5,73,0.77,17720.81,79,BABIA_GORA
2020-03-03,2.9,-3.9,-0.4,1.2,23.8,51,0.0,11215.69,99,BABIA_GORA
2020-03-04,-3.9,-7.0,-5.4,2.1,15.6,73,1.4,0.0,90,BABIA_GORA
2020-03-05,-0.3,-9.8,-5.3,0.0,21.3,3,0.0,36389.1,14,BABIA_GORA
2020-03-06,-1.4,-6.3,-4.4,0.8,26.3,71,0.56,20506.07,87,BABIA_GORA
2020-03-07,-1.9,-6.1,-4.3,2.3,15.3,73,1.33,11164.27,85,BABIA_GORA
2020-03-08,-3.5,-6.9,-5.5,2.5,14.2,73,1.68,8144.18,92,BABIA_GORA
2020-03-09,-0.5,-9.2,-4.5,0.0,11.5,3,0.0,37175.52,26,BABIA_GORA
2020-03-10,1.2,-6.9,-2.9,0.1,18.9,51,0.0,18703.88,73,BABIA_GORA
2020-03-11,1.4,-3.4,-0.7,9.6,21.6,61,0.0,7200.0,96,BABIA_GORA
