time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,6.1,-1.8,-0.2,0.0,20.5,2,0.0,24035.66,29,BISKUPIA_KOPA
2020-01-02,6.6,-3.4,1.7,0.0,19.5,0,0.0,24411.92,1,BISKUPIA_KOPA
2020-01-03,4.1,-3.9,0.6,0.0,24.8,3,0.0,23359.22,37,BISKUPIA_KOPA
2020-01-04,3.7,-0.9,1.4,4.4,29.1,75,2.87,18610.99,86,BISKUPIA_KOPA
2020-01-05,-1.3,-6.1,-3.0,2.8,29.1,73,2.03,23865.32,49,BISKUPIA_KOPA
2020-01-06,1.5,-8.2,-3.8,0.0,10.6,3,0.0,18670.94,58,BISKUPIA_KOPA
2020-01-07,2.6,-5.8,-2.1,0.0,15.3,3,0.0,24895.52,47,BISKUPIA_KOPA
2020-01-08,3.4,-0.1,1.7,1.6,21.4,51,0.0,11072.45,90,BISKUPIA_KOPA
2020-01-09,6.6,2.7,4.2,6.7,31.9,55,0.0,4844.96,98,BISKUPIA_KOPA
2020-01-10,6.1,2.7,4.1,0.0,29.8,3,0.0,25252.46,53,BISKUPIA_KOPA
2020-01-11,3.7,-0.3,1.6,0.1,21.4,51,0.0,0.0,86,BISKUPIA_KOPA
2020-01-12,4.0,-1.7,0.8,0.0,34.4,3,0.0,23629.12,80,BISKUPIA_KOPA
2020-01-13,3.4,-0.5,1.1,0.0,18.8,3,0.0,19895.18,91,BISKUPIA_KOPA
2020-01-14,1.5,-1.9,-0.1,0.0,27.0,3,0.0,25182.33,78,BISKUPIA_KOPA
2020-01-15,7.3,0.2,3.3,0.4,33.0,51,0.0,25831.23,80,BISKUPIA_KOPA
2020-01-16,8.2,-0.1,3.8,0.0,19.1,3,0.0,21182.46,56,BISKUPIA_KOPA
2020-01-17,5.2,-2.7,1.7,0.0,36.7,3,0.0,20295.38,54,BISKUPIA_KOPA
2020-01-18,2.6,-1.1,0.9,4.1,35.4,73,1.54,0.0,100,BISKUPIA_KOPA
2020-01-19,0.6,-0.8,-0.2,7.5,15.1,73,5.25,0.0,100,BISKUPIA_KOPA
2020-01-20,-0.4,-6.2,-1.7,3.4,12.8,73,2.38,0.0,82,BISKUPIA_KOPA
2020-01-21,3.4,-7.7,-3.2,0.0,7.9,2,0.0,26950.35,20,BISKUPIA_KOPA
2020-01-22,1.8,-5.6,-1.6,0.0,21.8,3,0.0,12070.16,56,BISKUPIA_KOPA
2020-01-23,1.5,-7.8,-2.3,0.1,18.4,71,0.07,22249.14,65,BISKUPIA_KOPA
2020-01-24,-1.0,-7.9,-4.1,0.0,15.2,3,0.0,27511.26,43,BISKUPIA_KOPA
2020-01-25,1.9,-6.6,-3.3,0.0,6.5,2,0.0,27704.65,19,BISKUPIA_KOPA
2020-01-26,3.3,-8.2,-2.7,0.0,7.6,3,0.0,27900.74,69,BISKUPIA_KOPA
2020-01-27,5.2,-1.7,1.0,0.4,21.5,71,0.07,28099.26,65,BISKUPIA_KOPA
2020-01-28,1.7,-2.1,-0.1,1.4,36.0,73,0.91,3194.51,100,BISKUPIA_KOPA
2020-01-29,1.1,-2.5,-0.8,0.4,23.8,73,0.28,28425.26,76,BISKUPIA_KOPA
2020-01-30,2.2,-1.7,0.5,0.2,25.2,71,0.21,0.0,88,BISKUPIA_KOPA
2020-01-31,8.6,1.5,5.7,1.4,36.9,53,0.0,19782.09,94,BISKUPIA_KOPA
2020-02-01,9.6,5.9,7.5,1.0,30.6,53,0.0,22540.56,94,BISKUPIA_KOPA
2020-02-02,7.7,2.9,5.1,3.9,23.1,71,0.07,21598.66,79,BISKUPIA_KOPA
2020-02-03,7.6,3.9,4.9,7.7,30.2,71,0.21,14605.79,88,BISKUPIA_KOPA
2020-02-04,3.9,-0.9,1.2,23.4,33.9,75,13.3,539.58,99,BISKUPIA_KOPA
2020-02-05,-1.1,-4.4,-2.3,10.7,33.5,75,7.49,15770.76,78,BISKUPIA_KOPA
2020-02-06,-0.2,-4.6,-2.1,0.6,21.0,71,0.35,6616.12,78,BISKUPIA_KOPA
2020-02-07,1.0,-2.7,-0.1,4.9,20.6,73,2.8,0.0,93,BISKUPIA_KOPA
2020-02-08,3.8,-5.2,-1.5,0.0,20.3,2,0.0,30365.89,8,BISKUPIA_KOPA
2020-02-09,3.0,-0.9,0.7,0.0,45.1,3,0.0,30386.0,34,BISKUPIA_KOPA
2020-02-10,5.6,1.0,2.6,12.3,46.6,75,3.36,19045.58,75,BISKUPIA_KOPA
2020-02-11,2.2,-0.9,0.8,4.0,35.1,73,2.45,28656.61,53,BISKUPIA_KOPA
2020-02-12,0.4,-1.9,-1.1,0.4,24.5,73,0.28,24491.19,53,BISKUPIA_KOPA
2020-02-13,1.8,-2.3,-0.3,0.9,28.5,73,0.49,29835.51,71,BISKUPIA_KOPA
2020-02-14,3.6,1.3,2.2,3.7,29.4,73,0.98,9576.41,91,BISKUPIA_KOPA
2020-02-15,5.0,-0.4,2.2,0.4,24.2,51,0.0,27162.04,87,BISKUPIA_KOPA
2020-02-16,6.9,2.3,4.4,1.3,40.3,53,0.0,21600.0,91,BISKUPIA_KOPA
2020-02-17,8.4,2.5,5.8,0.5,40.0,51,0.0,18719.57,91,BISKUPIA_KOPA
2020-02-18,6.2,1.3,3.9,0.1,26.6,51,0.0,29320.33,49,BISKUPIA_KOPA
2020-02-19,4.6,-0.4,1.7,2.1,23.7,71,0.14,16983.27,59,BISKUPIA_KOPA
2020-02-20,4.5,-0.8,1.7,2.0,21.9,73,1.4,33383.6,60,BISKUPIA_KOPA
2020-02-21,2.8,-0.6,1.7,3.6,29.2,73,1.96,24278.52,59,BISKUPIA_KOPA
2020-02-22,7.0,-1.4,3.3,0.1,35.6,51,0.0,23716.01,82,BISKUPIA_KOPA
2020-02-23,8.7,5.4,6.8,6.8,34.2,61,0.0,4438.9,97,BISKUPIA_KOPA
2020-02-24,6.9,-0.0,2.5,6.0,37.1,73,0.56,28674.38,76,BISKUPIA_KOPA
2020-02-25,7.1,2.9,5.4,3.2,32.7,53,0.0,0.0,100,BISKUPIA_KOPA
2020-02-26,4.0,-0.9,2.3,1.0,21.3,71,0.14,13837.17,70,BISKUPIA_KOPA
2020-02-27,2.5,-1.8,-0.0,0.4,20.6,71,0.28,35002.88,62,BISKUPIA_KOPA
2020-02-28,1.2,-2.8,-1.1,10.0,23.0,75,7.0,25031.01,66,BISKUPIA_KOPA
2020-02-29,3.5,-3.6,0.1,0.8,37.4,71,0.14,3997.85,96,BISKUPIA_KOPA
2020-03-01,7.7,1.6,4.2,1.2,32.4,53,0.0,33710.62,68,BISKUPIA_KOPA
