time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,3.7,-0.9,0.7,0.0,20.9,3,0.0,22914.42,37,CHELMIEC
2020-01-02,7.0,-1.6,1.6,0.0,34.3,1,0.0,23992.79,7,CHELMIEC
2020-01-03,2.6,-2.2,-0.1,0.0,34.2,3,0.0,14515.22,58,CHELMIEC
2020-01-04,4.0,0.1,2.2,3.6,35.4,73,0.84,1221.54,88,CHELMIEC
2020-01-05,0.6,-3.4,-1.2,0.6,30.1,73,0.42,23093.4,49,CHELMIEC
2020-01-06,1.8,-4.3,-1.4,0.4,21.0,71,0.28,11725.5,79,CHELMIEC
2020-01-07,2.7,-2.7,-0.5,0.0,28.6,3,0.0,24492.06,47,CHELMIEC
2020-01-08,2.6,-0.1,1.3,2.7,35.0,61,0.0,0.0,98,CHELMIEC
2020-01-09,5.0,2.1,3.5,6.6,34.2,55,0.0,0.0,99,CHELMIEC
2020-01-10,4.8,2.7,3.8,0.0,33.4,3,0.0,16122.33,60,CHELMIEC
2020-01-11,4.4,0.8,2.3,0.2,24.2,51,0.0,592.46,89,CHELMIEC
2020-01-12,2.2,-0.6,0.6,0.0,38.9,3,0.0,24700.92,86,CHELMIEC
2020-01-13,2.4,-0.7,0.6,0.0,29.8,3,0.0,10545.53,73,CHELMIEC
2020-01-14,1.6,-0.7,0.2,0.0,38.0,3,0.0,23578.71,86,CHELMIEC
2020-01-15,3.5,-1.8,0.1,0.0,44.5,3,0.0,25457.33,74,CHELMIEC
2020-01-16,7.4,-2.1,1.1,0.0,36.3,3,0.0,25075.25,40,CHELMIEC
2020-01-17,5.9,-1.0,2.1,0.0,43.2,3,0.0,25897.72,32,CHELMIEC
2020-01-18,2.3,-1.3,0.0,0.9,32.8,71,0.21,0.0,100,CHELMIEC
2020-01-19,1.6,-1.1,0.4,1.2,14.8,73,0.49,303.33,100,CHELMIEC
2020-01-20,1.8,-3.1,-0.2,0.2,14.0,71,0.07,19157.43,72,CHELMIEC
2020-01-21,3.0,-3.3,-1.5,0.0,23.4,2,0.0,26608.98,19,CHELMIEC
2020-01-22,3.1,-3.6,-0.9,0.0,26.3,3,0.0,8949.77,78,CHELMIEC
2020-01-23,1.5,-2.2,-0.5,0.0,22.2,3,0.0,25582.83,81,CHELMIEC
2020-01-24,-1.0,-4.6,-3.1,0.0,32.3,3,0.0,23423.09,73,CHELMIEC
2020-01-25,2.2,-4.5,-2.6,0.0,19.7,3,0.0,27384.49,46,CHELMIEC
2020-01-26,0.7,-4.6,-2.5,0.0,20.9,3,0.0,22701.76,94,CHELMIEC
2020-01-27,3.5,-1.8,0.8,0.1,32.2,51,0.0,21966.12,87,CHELMIEC
2020-01-28,3.7,-0.1,1.5,3.3,41.6,73,1.05,14156.6,90,CHELMIEC
2020-01-29,3.0,-1.0,0.5,0.1,27.4,51,0.0,21516.74,73,CHELMIEC
2020-01-30,4.3,0.1,1.9,1.9,31.1,75,1.19,0.0,94,CHELMIEC
2020-01-31,9.8,1.7,6.2,0.7,39.8,51,0.0,23171.62,95,CHELMIEC
2020-02-01,11.1,5.8,8.5,2.1,32.8,53,0.0,25771.31,94,CHELMIEC
2020-02-02,8.1,3.7,5.4,4.2,25.6,71,0.07,7678.7,86,CHELMIEC
2020-02-03,6.8,4.5,5.4,3.3,25.7,53,0.0,27169.51,87,CHELMIEC
2020-02-04,4.5,0.4,2.2,17.7,30.9,75,5.67,10800.0,90,CHELMIEC
2020-02-05,0.2,-3.3,-1.0,7.2,33.2,75,5.04,12673.7,80,CHELMIEC
2020-02-06,1.0,-3.4,-0.5,0.6,22.8,51,0.0,4447.8,90,CHELMIEC
2020-02-07,2.6,0.9,1.5,1.6,19.0,51,0.0,0.0,100,CHELMIEC
2020-02-08,3.4,-0.7,0.8,0.0,37.3,3,0.0,30146.95,18,CHELMIEC
2020-02-09,5.3,-2.0,1.4,0.0,49.3,3,0.0,30254.93,37,CHELMIEC
2020-02-10,7.2,1.6,5.2,7.9,50.7,63,0.0,13860.51,81,CHELMIEC
