time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,1.6,-2.3,0.2,0.5,16.1,51,0.0,994.87,61,CZUPEL
2020-01-02,5.8,-3.3,0.1,0.0,17.9,3,0.0,24597.85,33,CZUPEL
2020-01-03,2.9,-0.7,0.9,0.0,24.6,3,0.0,24653.82,25,CZUPEL
2020-01-04,3.5,-0.3,1.5,4.5,28.6,73,2.87,18346.31,92,CZUPEL
2020-01-05,-0.4,-3.8,-1.8,3.1,24.8,73,2.17,16657.26,76,CZUPEL
2020-01-06,-0.2,-5.9,-2.6,0.0,12.1,3,0.0,0.0,83,CZUPEL
2020-01-07,1.0,-4.0,-2.3,0.0,17.6,3,0.0,25188.71,19,CZUPEL
2020-01-08,2.7,-1.4,0.2,1.4,21.1,53,0.0,25146.36,77,CZUPEL
2020-01-09,4.0,1.0,2.2,5.2,24.7,61,0.0,4791.15,97,CZUPEL
2020-01-10,4.3,0.6,1.9,0.0,25.4,3,0.0,25324.23,46,CZUPEL
2020-01-11,3.1,1.1,1.9,0.9,19.5,51,0.0,0.0,90,CZUPEL
2020-01-12,3.2,-0.4,0.9,0.0,30.5,3,0.0,25652.87,63,CZUPEL
2020-01-13,3.2,-0.2,0.9,0.0,27.6,3,0.0,15554.1,87,CZUPEL
2020-01-14,1.5,-1.4,-0.2,0.0,21.2,3,0.0,22196.3,77,CZUPEL
2020-01-15,6.0,-1.5,1.0,0.0,24.3,3,0.0,26214.01,51,CZUPEL
2020-01-16,5.0,-0.9,1.3,0.0,20.1,3,0.0,14860.07,50,CZUPEL
2020-01-17,6.6,-1.4,1.7,0.0,19.1,3,0.0,19621.52,59,CZUPEL
2020-01-18,2.3,-0.9,0.6,1.5,23.4,73,1.05,8282.85,87,CZUPEL
2020-01-19,1.0,-0.2,0.3,8.5,14.9,73,5.32,0.0,100,CZUPEL
2020-01-20,1.4,-0.5,0.5,1.3,10.5,71,0.49,0.0,95,CZUPEL
2020-01-21,3.1,-3.4,-0.9,0.0,13.4,3,0.0,27199.08,35,CZUPEL
2020-01-22,2.7,-3.2,-1.1,0.3,19.5,71,0.21,13970.02,67,CZUPEL
2020-01-23,1.2,-3.5,-1.2,0.0,14.7,3,0.0,13945.05,73,CZUPEL
2020-01-24,2.6,-3.2,-1.2,0.0,19.5,3,0.0,27748.6,32,CZUPEL
2020-01-25,3.0,-5.0,-2.1,0.0,12.8,3,0.0,27938.12,32,CZUPEL
2020-01-26,2.4,-4.4,-1.9,0.1,10.5,71,0.07,26347.2,87,CZUPEL
2020-01-27,5.4,-2.6,-0.3,0.0,15.5,3,0.0,22494.45,43,CZUPEL
2020-01-28,3.7,-0.3,1.7,0.3,27.6,51,0.0,12386.54,99,CZUPEL
2020-01-29,3.3,-1.4,0.7,0.3,28.6,71,0.21,28579.28,54,CZUPEL
2020-01-30,3.7,-0.8,1.6,1.1,24.8,71,0.28,18000.0,84,CZUPEL
2020-01-31,9.3,1.3,5.3,4.1,31.3,61,0.0,7791.01,97,CZUPEL
2020-02-01,10.6,6.2,7.8,0.0,26.8,3,0.0,28655.12,83,CZUPEL
2020-02-02,8.2,5.7,6.9,12.0,29.4,61,0.0,21600.0,87,CZUPEL
2020-02-03,7.7,4.1,5.3,11.9,26.0,61,0.0,5920.25,92,CZUPEL
2020-02-04,5.0,-0.1,2.2,23.1,27.7,75,11.76,0.0,100,CZUPEL
2020-02-05,0.0,-5.4,-1.5,3.9,28.6,73,2.73,18275.92,65,CZUPEL
