time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,1.9,-2.5,-0.3,0.0,9.6,3,0.0,18322.52,52,JAGODNA
2020-01-02,7.1,-4.7,0.1,0.0,16.6,1,0.0,24411.92,5,JAGODNA
2020-01-03,2.6,-3.7,-0.4,0.3,23.9,51,0.0,15969.75,48,JAGODNA
2020-01-04,3.3,-0.3,1.4,7.8,25.4,73,4.13,1324.17,92,JAGODNA
2020-01-05,-0.0,-8.6,-2.6,0.4,23.4,73,0.28,23735.38,47,JAGODNA
2020-01-06,-0.4,-9.7,-3.3,0.1,12.3,71,0.07,13313.88,75,JAGODNA
2020-01-07,0.3,-4.6,-2.6,0.0,15.5,3,0.0,24633.28,60,JAGODNA
2020-01-08,2.2,-0.4,0.9,3.3,18.9,61,0.0,2781.89,97,JAGODNA
2020-01-09,3.1,0.6,1.8,6.6,18.8,55,0.0,1643.92,100,JAGODNA
2020-01-10,3.7,-0.4,1.3,0.1,18.7,51,0.0,11040.62,96,JAGODNA
2020-01-11,3.8,0.7,1.7,0.3,15.5,51,0.0,0.0,96,JAGODNA
2020-01-12,2.2,-1.5,-0.1,0.0,21.5,3,0.0,24822.84,84,JAGODNA
2020-01-13,1.9,-1.0,0.3,0.0,17.6,3,0.0,0.0,97,JAGODNA
2020-01-14,-0.0,-3.3,-2.0,0.0,19.8,3,0.0,0.0,100,JAGODNA
2020-01-15,-0.2,-3.6,-2.6,0.2,22.9,71,0.14,22009.26,87,JAGODNA
2020-01-16,5.4,-2.5,0.5,0.0,19.2,3,0.0,26098.81,38,JAGODNA
2020-01-17,2.9,-2.6,0.3,0.0,26.5,3,0.0,20781.16,48,JAGODNA
2020-01-18,0.0,-2.3,-1.3,2.9,19.1,73,2.03,0.0,100,JAGODNA
2020-01-19,2.0,-1.6,-0.0,2.7,13.3,71,1.89,0.0,100,JAGODNA
2020-01-20,1.6,-4.0,-0.4,1.3,12.7,73,0.91,11914.77,90,JAGODNA
2020-01-21,-0.1,-7.6,-4.6,0.0,10.5,3,0.0,26950.35,52,JAGODNA
2020-01-22,-0.1,-5.7,-3.5,0.0,14.3,3,0.0,12227.08,89,JAGODNA
2020-01-23,-0.0,-3.9,-1.4,0.0,14.1,3,0.0,12502.56,88,JAGODNA
2020-01-24,-2.4,-4.7,-3.8,0.0,20.9,3,0.0,0.0,76,JAGODNA
2020-01-25,-0.9,-5.6,-3.9,0.0,10.8,3,0.0,26835.23,88,JAGODNA
2020-01-26,-1.6,-4.9,-3.5,0.0,12.3,3,0.0,15605.4,100,JAGODNA
2020-01-27,1.8,-3.6,-1.1,0.2,17.7,51,0.0,24107.58,97,JAGODNA
2020-01-28,1.4,-2.8,-1.0,4.3,24.1,73,2.94,0.0,100,JAGODNA
2020-01-29,1.4,-2.6,-0.6,1.0,23.0,73,0.7,4698.94,85,JAGODNA
2020-01-30,3.2,-1.2,0.8,0.8,23.2,71,0.56,1321.19,96,JAGODNA
