time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,2.7,-1.2,0.4,0.0,16.5,3,0.0,23768.62,24,KLODZKA_GORA
2020-01-02,7.6,-0.7,2.1,0.0,17.3,1,0.0,24256.58,2,KLODZKA_GORA
2020-01-03,3.6,-1.3,1.3,0.2,28.5,51,0.0,15322.49,47,KLODZKA_GORA
2020-01-04,4.2,0.1,2.1,4.0,31.6,73,1.68,26.03,90,KLODZKA_GORA
2020-01-05,1.2,-4.2,-1.1,0.0,25.5,3,0.0,24532.29,44,KLODZKA_GORA
2020-01-06,1.5,-4.0,-1.1,0.2,15.4,71,0.14,19514.13,78,KLODZKA_GORA
2020-01-07,1.9,-2.3,-0.7,0.0,15.9,3,0.0,24745.95,46,KLODZKA_GORA
2020-01-08,3.3,0.7,2.1,1.8,25.6,61,0.0,4015.14,95,KLODZKA_GORA
2020-01-09,5.3,2.9,4.1,8.1,23.2,61,0.0,0.0,100,KLODZKA_GORA
2020-01-10,6.5,2.3,4.3,0.0,22.5,3,0.0,22742.79,29,KLODZKA_GORA
2020-01-11,4.3,1.2,2.6,0.1,21.3,51,0.0,275.3,90,KLODZKA_GORA
2020-01-12,4.1,-0.3,1.4,0.0,27.3,3,0.0,24883.01,78,KLODZKA_GORA
2020-01-13,3.2,0.0,1.1,0.0,24.7,3,0.0,2398.45,84,KLODZKA_GORA
2020-01-14,1.9,-0.8,0.2,0.0,22.4,3,0.0,22464.09,83,KLODZKA_GORA
2020-01-15,3.6,-1.3,0.5,0.5,27.2,51,0.0,25462.15,77,KLODZKA_GORA
2020-01-16,7.1,-0.8,1.5,0.0,21.0,3,0.0,25494.71,31,KLODZKA_GORA
2020-01-17,4.7,-1.2,1.6,0.0,30.7,3,0.0,24733.64,39,KLODZKA_GORA
2020-01-18,2.1,-0.4,0.5,2.0,24.1,73,0.91,0.0,98,KLODZKA_GORA
2020-01-19,2.3,-0.3,0.5,1.3,11.9,71,0.77,0.0,100,KLODZKA_GORA
2020-01-20,1.8,-3.1,0.1,0.9,9.0,73,0.7,4486.34,77,KLODZKA_GORA
2020-01-21,2.2,-3.2,-1.7,0.0,15.8,2,0.0,26823.67,22,KLODZKA_GORA
2020-01-22,1.4,-3.2,-1.7,0.0,21.6,3,0.0,8907.09,75,KLODZKA_GORA
2020-01-23,1.4,-2.7,-0.5,0.0,11.1,3,0.0,25645.85,77,KLODZKA_GORA
2020-01-24,-0.3,-3.4,-2.5,0.0,18.2,3,0.0,5584.95,67,KLODZKA_GORA
2020-01-25,2.4,-3.8,-2.1,0.0,12.7,3,0.0,27150.47,45,KLODZKA_GORA
2020-01-26,2.0,-3.9,-1.7,0.0,13.5,3,0.0,22563.91,81,KLODZKA_GORA
2020-01-27,4.4,-1.5,1.1,0.1,20.7,51,0.0,25200.0,72,KLODZKA_GORA
2020-01-28,2.7,-1.4,0.7,4.2,32.0,73,2.24,11543.34,97,KLODZKA_GORA
