time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-1.1,-6.0,-3.8,0.0,13.7,3,0.0,23508.44,31,KOWADLO
2020-01-02,2.9,-6.6,-1.8,0.0,25.2,1,0.0,24360.38,3,KOWADLO
2020-01-03,-0.1,-4.3,-2.3,0.1,26.8,51,0.0,19887.75,40,KOWADLO
2020-01-04,0.8,-3.3,-1.3,5.5,24.4,73,3.15,5860.14,90,KOWADLO
2020-01-05,-3.2,-11.2,-5.7,1.2,27.6,73,0.7,20983.1,54,KOWADLO
2020-01-06,-2.5,-12.5,-6.3,0.0,13.0,3,0.0,19353.68,71,KOWADLO
2020-01-07,-2.3,-6.7,-4.8,0.0,18.6,3,0.0,24845.89,72,KOWADLO
2020-01-08,0.1,-2.9,-1.4,2.2,23.5,53,0.0,6384.5,97,KOWADLO
2020-01-09,1.4,-0.8,0.3,6.2,23.7,55,0.0,5080.58,100,KOWADLO
2020-01-10,1.7,-2.1,-0.1,0.0,23.0,3,0.0,20242.67,73,KOWADLO
2020-01-11,1.3,-2.2,-1.0,0.0,19.5,3,0.0,0.0,95,KOWADLO
2020-01-12,-1.2,-3.7,-2.5,0.0,28.5,3,0.0,24601.88,88,KOWADLO
2020-01-13,-0.6,-3.4,-2.4,0.0,25.7,3,0.0,1845.87,95,KOWADLO
2020-01-14,-2.8,-5.6,-4.3,0.0,25.2,3,0.0,19651.14,89,KOWADLO
2020-01-15,0.4,-4.6,-3.1,0.0,33.6,3,0.0,23549.22,82,KOWADLO
2020-01-16,4.9,-3.6,-0.7,0.0,26.5,3,0.0,25326.11,44,KOWADLO
2020-01-17,1.5,-5.6,-1.6,0.0,33.7,3,0.0,21331.75,49,KOWADLO
2020-01-18,-1.6,-4.9,-3.1,3.5,27.0,73,2.45,0.0,100,KOWADLO
2020-01-19,-1.9,-4.1,-2.7,6.0,13.3,73,4.2,0.0,100,KOWADLO
2020-01-20,-2.7,-6.1,-3.6,1.1,11.9,73,0.77,2542.44,92,KOWADLO
2020-01-21,-1.7,-9.3,-6.2,0.0,11.3,2,0.0,26908.3,32,KOWADLO
2020-01-22,-1.5,-8.6,-5.3,0.0,13.9,3,0.0,13313.37,70,KOWADLO
2020-01-23,-2.4,-6.6,-4.2,0.0,13.2,3,0.0,21403.66,78,KOWADLO
2020-01-24,-5.2,-7.4,-6.3,0.0,23.4,3,0.0,11024.14,70,KOWADLO
2020-01-25,-1.0,-9.1,-6.2,0.0,11.0,3,0.0,27665.2,38,KOWADLO
2020-01-26,-1.0,-9.2,-5.9,0.0,12.1,3,0.0,27031.87,75,KOWADLO
2020-01-27,1.3,-5.9,-2.4,0.0,22.4,3,0.0,28061.13,73,KOWADLO
2020-01-28,-2.1,-5.2,-3.3,2.3,30.4,73,1.61,7131.18,100,KOWADLO
2020-01-29,-1.6,-5.2,-3.4,1.4,25.0,73,0.98,20421.2,81,KOWADLO
2020-01-30,0.1,-4.0,-2.0,0.5,22.7,71,0.35,1593.11,93,KOWADLO
2020-01-31,5.4,-1.2,2.7,2.0,29.8,55,0.0,21331.54,92,KOWADLO
2020-02-01,7.0,3.0,5.0,2.4,24.8,55,0.0,18777.06,96,KOWADLO
2020-02-02,5.1,0.6,2.4,7.6,24.0,71,0.14,6348.81,93,KOWADLO
2020-02-03,5.2,0.9,2.4,8.0,30.3,73,0.28,4313.17,95,KOWADLO
2020-02-04,1.6,-3.2,-1.2,25.3,25.1,75,14.77,5990.56,98,KOWADLO
