time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-0.4,-4.2,-1.9,0.2,24.7,71,0.14,8591.18,65,LACKOWA
2020-01-02,6.2,-8.2,-2.8,0.0,13.7,3,0.0,24530.3,47,LACKOWA
2020-01-03,-0.6,-9.4,-6.6,0.0,16.2,3,0.0,24730.65,46,LACKOWA
2020-01-04,1.9,-6.6,-1.1,2.1,18.3,73,1.05,4412.07,92,LACKOWA
2020-01-05,-1.9,-5.7,-4.2,6.0,27.3,73,4.27,2103.66,90,LACKOWA
2020-01-06,-1.5,-10.5,-6.4,0.0,10.2,3,0.0,20311.37,76,LACKOWA
2020-01-07,-1.6,-10.2,-7.1,0.0,11.5,3,0.0,25283.01,25,LACKOWA
2020-01-08,0.8,-6.9,-3.5,0.0,12.4,3,0.0,20904.31,70,LACKOWA
2020-01-09,-2.4,-5.6,-3.9,4.8,19.0,53,0.0,6229.4,99,LACKOWA
2020-01-10,1.3,-5.4,-3.1,0.0,19.1,3,0.0,23641.68,73,LACKOWA
2020-01-11,1.4,-0.4,0.4,0.7,17.4,71,0.14,0.0,86,LACKOWA
2020-01-12,2.3,-2.9,-1.0,0.0,15.6,3,0.0,26021.51,71,LACKOWA
2020-01-13,0.8,-4.9,-2.7,0.0,15.7,3,0.0,12437.0,97,LACKOWA
2020-01-14,-1.0,-5.8,-4.1,0.0,20.2,3,0.0,22226.73,88,LACKOWA
2020-01-15,-0.4,-6.0,-3.9,0.0,23.4,3,0.0,26433.81,61,LACKOWA
2020-01-16,4.8,-3.9,0.0,0.0,20.1,3,0.0,13005.59,84,LACKOWA
2020-01-17,2.7,-3.6,-0.7,0.0,24.5,3,0.0,24985.13,70,LACKOWA
2020-01-18,2.9,-6.6,-1.0,0.0,19.2,3,0.0,26749.75,88,LACKOWA
2020-01-19,-1.1,-3.6,-1.7,0.5,9.5,71,0.35,0.0,99,LACKOWA
2020-01-20,-0.8,-2.2,-1.5,0.4,13.9,71,0.28,0.0,97,LACKOWA
2020-01-21,4.4,-4.9,-1.4,0.0,9.5,3,0.0,27361.66,42,LACKOWA
2020-01-22,4.2,-5.7,-2.4,1.3,23.9,73,0.91,14400.0,62,LACKOWA
2020-01-23,0.2,-5.7,-2.8,0.4,21.1,73,0.28,25953.67,48,LACKOWA
2020-01-24,1.9,-6.5,-3.8,0.0,16.5,1,0.0,27744.15,8,LACKOWA
2020-01-25,1.6,-7.2,-4.6,0.0,11.1,2,0.0,27795.93,28,LACKOWA
2020-01-26,1.1,-7.8,-5.0,0.1,11.9,71,0.07,27818.28,84,LACKOWA
2020-01-27,5.1,-5.8,-1.7,0.1,9.7,51,0.0,28160.45,36,LACKOWA
2020-01-28,-0.6,-3.6,-2.5,4.0,22.0,75,2.87,8809.51,98,LACKOWA
2020-01-29,1.3,-3.1,-1.3,0.3,18.0,71,0.21,27651.56,87,LACKOWA
2020-01-30,2.6,-2.9,-0.8,0.4,19.1,71,0.28,11651.64,91,LACKOWA
2020-01-31,6.7,-1.6,2.3,4.9,23.6,75,1.54,10028.25,94,LACKOWA
2020-02-01,10.0,3.4,5.3,0.0,16.3,3,0.0,28551.87,81,LACKOWA
2020-02-02,6.5,1.1,4.0,3.0,22.4,71,0.07,20934.37,83,LACKOWA
2020-02-03,4.4,1.3,2.8,6.3,17.3,73,0.28,10768.55,88,LACKOWA
2020-02-04,1.4,-1.9,0.0,25.0,30.6,75,16.66,0.0,100,LACKOWA
2020-02-05,-1.4,-8.8,-3.8,7.1,31.1,75,4.97,13334.75,68,LACKOWA
2020-02-06,-1.7,-8.0,-4.5,3.6,23.7,73,2.52,1279.53,80,LACKOWA
2020-02-07,-1.0,-11.7,-3.8,8.0,21.9,73,5.67,14532.76,58,LACKOWA
2020-02-08,2.0,-15.8,-6.7,0.0,10.1,1,0.0,30633.59,4,LACKOWA
2020-02-09,3.3,-8.1,-3.6,0.0,24.4,3,0.0,30830.65,14,LACKOWA
2020-02-10,4.2,-2.5,0.8,1.1,29.9,73,0.42,2339.75,78,LACKOWA
2020-02-11,1.0,-2.7,-0.7,3.3,29.2,75,2.24,22511.92,49,LACKOWA
2020-02-12,0.9,-3.9,-2.2,0.6,25.1,73,0.42,31072.12,32,LACKOWA
2020-02-13,2.3,-5.5,-2.3,0.0,19.4,3,0.0,31377.93,39,LACKOWA
2020-02-14,3.1,-2.0,-0.1,2.7,24.0,73,1.54,732.41,99,LACKOWA
2020-02-15,2.8,-2.4,-0.3,0.6,16.3,71,0.35,14010.54,87,LACKOWA
2020-02-16,5.1,-2.4,0.7,0.0,25.3,3,0.0,27692.93,79,LACKOWA
2020-02-17,6.7,0.3,2.4,0.0,25.5,3,0.0,30022.93,70,LACKOWA
2020-02-18,6.1,-0.4,2.6,3.0,18.6,53,0.0,23054.06,59,LACKOWA
2020-02-19,5.7,-2.1,1.1,0.3,17.4,71,0.21,31258.02,57,LACKOWA
2020-02-20,0.6,-3.5,-1.0,1.5,20.4,73,1.05,12423.76,78,LACKOWA
2020-02-21,0.8,-3.5,-1.3,8.1,23.0,75,5.67,4487.91,72,LACKOWA
2020-02-22,5.1,-3.5,0.1,0.0,16.7,3,0.0,30248.32,58,LACKOWA
2020-02-23,6.3,1.7,4.0,7.0,21.2,61,0.0,6136.64,96,LACKOWA
2020-02-24,6.6,-1.6,0.8,7.0,40.6,73,2.03,7894.04,83,LACKOWA
2020-02-25,8.1,-1.4,3.6,0.5,20.8,71,0.14,7329.12,92,LACKOWA
2020-02-26,5.0,-1.7,2.8,1.3,12.9,51,0.0,0.0,92,LACKOWA
2020-02-27,2.6,-3.6,-0.9,0.4,23.6,71,0.28,29920.37,66,LACKOWA
2020-02-28,0.7,-3.7,-2.1,7.1,21.1,73,5.04,9741.33,86,LACKOWA
2020-02-29,2.8,-3.8,-0.8,0.3,26.8,71,0.21,20214.7,82,LACKOWA
2020-03-01,5.1,-0.4,0.9,2.4,25.4,73,0.56,4342.42,96,LACKOWA
2020-03-02,7.4,0.8,2.6,2.3,25.1,53,0.0,13779.66,68,LACKOWA
2020-03-03,8.2,0.6,4.4,1.7,23.5,53,0.0,18012.33,85,LACKOWA
2020-03-04,4.0,-0.6,0.9,9.8,18.4,75,5.95,0.0,100,LACKOWA
2020-03-05,4.9,-3.4,0.4,0.1,15.6,71,0.07,35794.02,31,LACKOWA
2020-03-06,2.5,-1.5,0.5,1.1,26.2,73,0.77,7458.55,83,LACKOWA
2020-03-07,5.4,-0.7,2.0,0.0,17.3,3,0.0,11430.75,87,LACKOWA
2020-03-08,2.7,-1.0,0.8,0.0,17.9,3,0.0,6359.39,91,LACKOWA
2020-03-09,6.0,-2.6,1.2,0.0,12.5,3,0.0,28704.05,44,LACKOWA
2020-03-10,6.0,-1.7,2.1,0.1,11.0,51,0.0,24134.57,64,LACKOWA
2020-03-11,8.7,-0.1,5.2,1.8,15.9,51,0.0,13492.99,85,LACKOWA
2020-03-12,13.7,4.0,8.3,0.7,27.5,53,0.0,33452.71,65,LACKOWA
2020-03-13,6.8,0.7,4.1,2.2,19.9,51,0.0,25820.99,59,LACKOWA
2020-03-14,1.0,-3.9,-0.2,0.4,21.9,71,0.28,28562.11,51,LACKOWA
2020-03-15,4.2,-6.8,-2.2,0.0,11.7,3,0.0,38626.83,4,LACKOWA
2020-03-16,7.2,-3.2,1.3,0.0,28.4,3,0.0,37556.54,61,LACKOWA
2020-03-17,11.3,-2.2,4.5,0.0,14.4,3,0.0,38914.67,16,LACKOWA
2020-03-18,12.2,1.6,6.8,0.0,11.3,3,0.0,35455.04,35,LACKOWA
2020-03-19,15.1,1.9,7.9,0.0,10.5,2,0.0,39103.6,27,LACKOWA
2020-03-20,11.5,3.3,7.5,2.1,7.6,51,0.0,38190.77,61,LACKOWA
2020-03-21,5.4,-3.2,0.8,7.2,19.7,73,4.62,0.0,88,LACKOWA
2020-03-22,-1.9,-7.4,-4.7,1.0,23.0,71,0.7,39299.38,47,LACKOWA
2020-03-23,-2.8,-7.4,-5.4,2.2,23.7,73,1.54,0.0,83,LACKOWA
2020-03-24,-0.5,-7.9,-4.7,0.0,20.1,0,0.0,41017.16,1,LACKOWA
2020-03-25,2.1,-6.8,-2.8,0.0,17.3,3,0.0,39646.29,22,LACKOWA
2020-03-26,9.3,-4.1,2.3,0.0,13.0,3,0.0,37413.38,65,LACKOWA
2020-03-27,11.9,0.4,5.4,0.0,13.0,1,0.0,41387.18,5,LACKOWA
2020-03-28,12.4,-0.0,5.7,2.0,11.5,55,0.0,40805.46,34,LACKOWA
2020-03-29,9.6,1.3,5.6,0.1,18.7,51,0.0,40823.44,60,LACKOWA
2020-03-30,0.3,-5.0,-3.0,2.2,26.2,73,1.4,27260.47,62,LACKOWA
2020-03-31,1.8,-6.1,-2.6,0.1,10.8,71,0.07,41698.22,23,LACKOWA
2020-04-01,4.9,-5.4,-1.1,0.0,10.5,3,0.0,42033.25,24,LACKOWA
2020-04-02,8.6,-4.2,1.1,0.0,9.0,0,0.0,42497.03,0,LACKOWA
2020-04-03,8.6,-2.8,2.7,0.0,16.8,3,0.0,40264.94,33,LACKOWA
2020-04-04,8.5,0.1,3.6,0.0,13.4,3,0.0,42833.92,28,LACKOWA
2020-04-05,9.9,-1.8,3.7,0.0,13.4,0,0.0,43290.9,0,LACKOWA
2020-04-06,13.9,0.2,6.2,0.0,18.6,0,0.0,43660.83,0,LACKOWA
2020-04-07,15.8,1.3,8.4,0.0,10.2,0,0.0,44088.34,0,LACKOWA
2020-04-08,16.9,3.4,10.5,0.0,12.7,0,0.0,44299.3,0,LACKOWA
2020-04-09,18.0,2.8,10.5,0.0,14.8,0,0.0,44509.88,1,LACKOWA
2020-04-10,10.5,4.6,7.5,0.0,18.4,3,0.0,42888.71,58,LACKOWA
2020-04-11,11.3,2.0,6.7,0.0,11.6,3,0.0,44929.36,23,LACKOWA
2020-04-12,16.6,2.2,9.0,0.0,14.3,3,0.0,41128.1,32,LACKOWA
2020-04-13,17.4,3.2,9.2,6.3,19.3,61,0.0,31928.23,73,LACKOWA
2020-04-14,3.5,-0.9,0.9,2.8,22.4,73,1.19,37639.98,77,LACKOWA
2020-04-15,8.6,-2.8,3.2,0.0,17.6,3,0.0,35836.16,48,LACKOWA
2020-04-16,18.1,0.9,9.5,0.0,17.5,3,0.0,45391.05,31,LACKOWA
2020-04-17,14.9,5.2,9.8,0.0,19.9,3,0.0,45777.44,69,LACKOWA
2020-04-18,13.0,2.4,7.3,0.0,11.6,3,0.0,46222.16,27,LACKOWA
2020-04-19,10.0,1.5,5.6,0.0,17.4,3,0.0,25764.16,70,LACKOWA
2020-04-20,9.0,-0.7,3.9,0.0,14.5,3,0.0,46446.54,23,LACKOWA
2020-04-21,9.6,0.6,4.9,0.0,17.6,3,0.0,46556.3,13,LACKOWA
2020-04-22,11.0,0.6,6.1,0.0,14.6,3,0.0,46664.28,35,LACKOWA
2020-04-23,15.1,2.1,9.2,0.0,10.4,3,0.0,46770.37,40,LACKOWA
2020-04-24,18.1,4.8,11.4,0.0,14.7,3,0.0,43660.18,83,LACKOWA
2020-04-25,13.1,4.3,8.1,4.2,28.0,61,0.0,39149.49,72,LACKOWA
2020-04-26,8.8,0.7,5.4,0.0,18.8,3,0.0,25277.75,65,LACKOWA
2020-04-27,13.8,1.9,8.6,0.0,9.7,3,0.0,39007.58,59,LACKOWA
2020-04-28,16.6,4.5,11.1,0.0,16.3,3,0.0,42184.61,38,LACKOWA
2020-04-29,18.1,8.2,12.6,3.0,19.3,61,0.0,43200.0,57,LACKOWA
2020-04-30,13.3,8.1,10.2,0.7,17.4,51,0.0,34259.55,86,LACKOWA
2020-05-01,13.3,7.3,9.8,7.5,20.2,61,0.0,26252.98,90,LACKOWA
2020-05-02,13.5,4.1,9.2,4.1,12.8,61,0.0,46800.0,44,LACKOWA
2020-05-03,8.8,4.8,6.3,2.3,19.5,51,0.0,15593.44,94,LACKOWA
2020-05-04,11.2,4.0,7.3,0.6,16.5,51,0.0,33384.07,75,LACKOWA
2020-05-05,8.1,2.5,5.5,5.0,20.3,61,0.0,19138.19,53,LACKOWA
2020-05-06,4.8,0.2,2.7,19.8,29.1,73,1.19,5659.51,84,LACKOWA
2020-05-07,7.8,2.0,5.2,1.6,25.8,55,0.0,21544.64,70,LACKOWA
2020-05-08,16.2,3.3,9.5,0.0,10.4,3,0.0,47343.22,71,LACKOWA
2020-05-09,17.6,6.8,12.5,0.0,9.5,3,0.0,45385.67,52,LACKOWA
2020-05-10,20.4,8.7,14.7,0.0,22.1,3,0.0,43594.31,69,LACKOWA
2020-05-11,21.9,11.8,16.2,0.0,30.4,3,0.0,37652.5,52,LACKOWA
2020-05-12,13.2,0.0,3.6,1.9,29.8,73,1.05,16528.85,73,LACKOWA
2020-05-13,9.7,0.5,5.3,3.4,18.1,55,0.0,26620.86,85,LACKOWA
2020-05-14,6.2,3.5,5.0,5.3,15.5,53,0.0,0.0,95,LACKOWA
2020-05-15,5.8,2.5,3.8,8.5,15.5,61,0.0,0.0,94,LACKOWA
