time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,0.5,-3.4,-0.9,0.0,19.5,3,0.0,0.0,66,LUBOMIR
2020-01-02,6.8,-5.3,-1.3,0.0,11.0,3,0.0,24218.55,38,LUBOMIR
2020-01-03,6.5,-4.8,0.1,0.0,13.0,3,0.0,24581.29,21,LUBOMIR
2020-01-04,2.3,-1.2,0.7,2.6,26.5,73,1.33,2303.95,90,LUBOMIR
2020-01-05,-1.9,-5.7,-3.1,4.2,24.3,75,2.94,11157.8,70,LUBOMIR
2020-01-06,0.0,-7.7,-3.7,0.0,8.4,3,0.0,5861.33,79,LUBOMIR
2020-01-07,2.2,-7.2,-3.3,0.0,10.6,3,0.0,25083.93,22,LUBOMIR
2020-01-08,3.3,-2.8,-0.4,1.5,12.2,53,0.0,23792.0,74,LUBOMIR
2020-01-09,3.7,-0.1,0.9,7.1,9.4,61,0.0,3811.3,100,LUBOMIR
2020-01-10,5.8,-0.6,1.6,0.0,13.0,3,0.0,24990.0,66,LUBOMIR
2020-01-11,2.5,-0.1,1.0,0.9,19.6,51,0.0,0.0,89,LUBOMIR
2020-01-12,4.5,-3.1,-0.1,0.0,17.4,3,0.0,25488.47,72,LUBOMIR
2020-01-13,3.9,-3.2,0.2,0.0,13.3,3,0.0,15633.53,90,LUBOMIR
2020-01-14,3.2,-3.6,-0.7,0.0,8.5,3,0.0,24456.19,40,LUBOMIR
2020-01-15,7.8,-3.4,1.7,0.0,12.3,3,0.0,26214.01,46,LUBOMIR
2020-01-16,4.8,-4.0,-0.4,0.0,10.2,3,0.0,13586.93,57,LUBOMIR
2020-01-17,3.6,-4.7,-1.7,0.0,10.9,3,0.0,22040.36,56,LUBOMIR
2020-01-18,2.1,-4.2,-0.5,0.1,14.5,71,0.07,17515.81,68,LUBOMIR
2020-01-19,-0.0,-1.5,-1.1,7.5,12.1,73,4.2,0.0,100,LUBOMIR
2020-01-20,0.2,-1.8,-0.8,0.4,8.9,71,0.14,686.94,96,LUBOMIR
2020-01-21,3.3,-5.0,-1.7,0.0,11.7,3,0.0,27199.08,28,LUBOMIR
2020-01-22,2.7,-3.8,-1.5,0.4,24.3,71,0.35,14157.52,57,LUBOMIR
2020-01-23,-0.5,-6.6,-3.0,0.0,16.3,3,0.0,10812.19,73,LUBOMIR
2020-01-24,4.5,-6.9,-2.8,0.0,8.8,2,0.0,27756.75,11,LUBOMIR
2020-01-25,2.1,-7.2,-3.9,0.0,8.2,2,0.0,27938.12,16,LUBOMIR
2020-01-26,1.5,-7.5,-3.5,0.0,6.6,3,0.0,27611.46,84,LUBOMIR
2020-01-27,4.5,-6.6,-2.5,0.0,9.7,3,0.0,27346.96,38,LUBOMIR
2020-01-28,4.2,-2.5,1.1,0.7,20.6,51,0.0,11416.68,95,LUBOMIR
2020-01-29,1.8,-2.0,-0.2,2.6,23.2,75,1.82,27160.99,77,LUBOMIR
2020-01-30,3.2,-1.4,0.7,0.9,21.4,71,0.14,18220.92,91,LUBOMIR
2020-01-31,7.2,0.6,4.2,3.9,28.1,61,0.0,14162.19,95,LUBOMIR
2020-02-01,10.4,4.8,7.0,2.5,23.2,61,0.0,28724.41,89,LUBOMIR
2020-02-02,8.1,3.9,5.7,9.6,26.3,61,0.0,22245.93,83,LUBOMIR
2020-02-03,5.9,2.5,3.7,8.8,22.2,61,0.0,7223.44,89,LUBOMIR
2020-02-04,3.7,-1.0,1.0,23.5,24.2,75,9.73,0.0,100,LUBOMIR
2020-02-05,-1.0,-7.9,-3.0,3.0,24.6,73,2.17,14523.21,68,LUBOMIR
2020-02-06,-1.1,-5.9,-3.0,2.6,22.5,73,1.82,0.0,84,LUBOMIR
2020-02-07,0.0,-7.2,-2.0,5.9,19.2,73,3.08,3330.34,70,LUBOMIR
2020-02-08,4.2,-9.8,-3.7,0.0,11.3,0,0.0,30486.47,0,LUBOMIR
2020-02-09,6.2,-5.9,-0.1,0.0,32.9,3,0.0,30787.16,17,LUBOMIR
