time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,0.7,-2.5,-0.8,0.0,22.9,3,0.0,10245.89,68,LYSICA
2020-01-02,2.5,-3.7,-1.3,0.0,20.9,3,0.0,23936.3,62,LYSICA
2020-01-03,2.0,-2.6,-1.0,0.0,22.4,3,0.0,24001.57,19,LYSICA
2020-01-04,2.0,-1.5,0.4,3.1,27.7,73,0.98,2056.28,95,LYSICA
2020-01-05,-1.2,-5.3,-2.6,1.2,31.6,73,0.84,22966.76,43,LYSICA
2020-01-06,-1.8,-6.2,-3.6,0.3,16.6,71,0.21,63.25,88,LYSICA
2020-01-07,-0.6,-5.3,-3.0,0.0,13.1,3,0.0,24178.41,47,LYSICA
2020-01-08,2.1,-2.4,-0.3,1.2,21.3,71,0.21,14400.0,90,LYSICA
2020-01-09,2.1,0.1,0.9,6.3,18.9,53,0.0,0.0,100,LYSICA
2020-01-10,3.7,0.3,2.1,0.0,22.0,3,0.0,20154.87,70,LYSICA
2020-01-11,3.4,-0.2,1.9,0.7,25.7,51,0.0,0.0,88,LYSICA
2020-01-12,2.7,-0.9,0.5,0.0,25.3,3,0.0,24661.48,87,LYSICA
2020-01-13,2.7,-1.6,0.5,0.0,24.6,3,0.0,2446.59,92,LYSICA
2020-01-14,1.4,-3.4,-1.4,0.0,21.3,3,0.0,24388.73,54,LYSICA
2020-01-15,3.6,-2.9,-0.8,0.0,21.5,3,0.0,25392.12,62,LYSICA
2020-01-16,4.4,-3.2,0.1,0.4,24.0,73,0.28,25685.87,32,LYSICA
2020-01-17,1.0,-2.9,-1.0,0.0,23.4,3,0.0,7565.73,72,LYSICA
2020-01-18,0.7,-3.1,-1.1,0.0,17.0,3,0.0,9694.52,78,LYSICA
2020-01-19,0.6,-0.3,0.1,1.5,13.4,51,0.0,0.0,98,LYSICA
2020-01-20,0.8,-1.6,-0.6,0.0,17.4,3,0.0,10363.24,92,LYSICA
2020-01-21,2.6,-3.2,-1.1,0.0,26.4,3,0.0,26565.5,29,LYSICA
2020-01-22,-0.3,-2.6,-1.6,0.8,29.7,71,0.28,0.0,70,LYSICA
2020-01-23,-0.4,-2.9,-1.8,0.0,19.2,3,0.0,5588.88,72,LYSICA
