time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,0.1,-2.5,-1.1,0.2,23.3,71,0.14,2987.72,75,MOGIELICA
2020-01-02,6.5,-2.2,0.9,0.0,16.0,3,0.0,24299.76,39,MOGIELICA
2020-01-03,6.4,-4.1,2.3,0.0,23.5,3,0.0,24701.21,25,MOGIELICA
2020-01-04,1.6,-1.3,0.3,3.6,29.5,73,1.96,3397.24,92,MOGIELICA
2020-01-05,-2.2,-5.9,-3.8,5.9,23.4,75,4.13,2866.87,87,MOGIELICA
2020-01-06,-0.4,-8.5,-4.6,0.0,8.2,3,0.0,8211.25,82,MOGIELICA
2020-01-07,1.5,-6.5,-3.5,0.0,10.9,3,0.0,25195.38,20,MOGIELICA
2020-01-08,2.3,-3.1,-0.5,0.1,17.8,51,0.0,20353.86,73,MOGIELICA
2020-01-09,5.8,1.3,3.1,6.9,16.6,61,0.0,9416.15,98,MOGIELICA
2020-01-10,7.5,0.8,4.0,0.0,19.2,3,0.0,24425.15,69,MOGIELICA
2020-01-11,2.2,-0.0,0.8,1.8,19.7,73,0.84,0.0,92,MOGIELICA
2020-01-12,5.4,-1.6,1.2,0.1,29.8,71,0.07,25885.68,71,MOGIELICA
2020-01-13,3.7,-0.2,1.4,0.0,29.0,3,0.0,16979.69,93,MOGIELICA
2020-01-14,3.9,-2.7,0.0,0.0,15.7,3,0.0,25120.34,42,MOGIELICA
2020-01-15,9.0,-1.9,2.4,0.0,17.3,2,0.0,26302.48,33,MOGIELICA
2020-01-16,5.6,-2.3,2.0,0.0,16.9,3,0.0,16013.6,65,MOGIELICA
2020-01-17,6.3,-2.7,1.3,0.0,17.2,3,0.0,24760.16,55,MOGIELICA
2020-01-18,4.0,-2.1,-0.0,0.0,8.0,3,0.0,21765.98,76,MOGIELICA
2020-01-19,-0.2,-1.2,-0.7,6.1,10.3,73,4.27,0.0,100,MOGIELICA
2020-01-20,-0.2,-2.1,-0.9,0.6,10.8,71,0.42,138.7,96,MOGIELICA
2020-01-21,4.6,-3.5,0.1,0.0,13.3,3,0.0,27280.65,40,MOGIELICA
2020-01-22,2.8,-2.4,-0.4,1.2,24.5,73,0.91,14293.42,58,MOGIELICA
2020-01-23,-0.2,-3.6,-2.4,0.4,18.9,71,0.28,24924.78,66,MOGIELICA
2020-01-24,6.2,-3.7,-0.6,0.0,14.3,1,0.0,27789.16,8,MOGIELICA
2020-01-25,4.1,-4.9,-1.3,0.0,13.4,2,0.0,27897.6,19,MOGIELICA
2020-01-26,4.3,-5.6,-1.7,0.0,7.2,3,0.0,28000.62,82,MOGIELICA
2020-01-27,5.6,-2.8,0.2,0.0,9.8,2,0.0,28150.77,22,MOGIELICA
2020-01-28,4.6,-0.9,1.6,1.7,18.6,73,0.77,10221.25,93,MOGIELICA
2020-01-29,1.7,-1.9,-0.4,0.0,24.1,3,0.0,26979.52,81,MOGIELICA
2020-01-30,2.4,-1.8,0.2,1.2,21.8,71,0.84,17356.43,90,MOGIELICA
2020-01-31,6.6,0.7,4.0,4.7,29.9,61,0.0,9060.15,98,MOGIELICA
2020-02-01,9.8,5.2,7.0,0.0,26.0,3,0.0,28375.1,90,MOGIELICA
2020-02-02,7.5,3.5,5.4,6.6,25.8,55,0.0,17237.06,87,MOGIELICA
2020-02-03,6.3,2.4,3.6,9.7,27.7,63,0.0,4151.71,94,MOGIELICA
2020-02-04,3.3,-1.5,1.0,31.0,25.5,75,19.6,0.0,100,MOGIELICA
2020-02-05,-1.3,-8.4,-3.6,7.0,26.5,75,4.83,11717.46,69,MOGIELICA
2020-02-06,-1.5,-7.3,-4.0,4.6,20.5,73,3.22,0.0,88,MOGIELICA
2020-02-07,-0.6,-11.5,-2.8,11.4,17.1,75,7.98,7969.47,68,MOGIELICA
2020-02-08,3.3,-10.7,-4.4,0.0,12.5,0,0.0,30522.61,1,MOGIELICA
2020-02-09,6.6,-6.6,-0.8,0.0,22.1,3,0.0,30805.97,14,MOGIELICA
2020-02-10,7.2,0.0,3.2,2.5,30.7,71,0.35,16125.67,79,MOGIELICA
2020-02-11,1.9,-1.9,0.3,4.7,35.8,75,3.15,16223.65,49,MOGIELICA
2020-02-12,1.0,-2.9,-1.5,1.3,24.1,73,0.91,27849.32,41,MOGIELICA
2020-02-13,2.5,-4.1,-1.4,0.0,20.0,3,0.0,30773.73,39,MOGIELICA
2020-02-14,2.5,0.6,1.5,2.1,18.2,73,0.77,41.68,99,MOGIELICA
2020-02-15,4.2,-1.5,0.2,0.6,17.4,71,0.28,26752.62,84,MOGIELICA
2020-02-16,10.0,-3.4,4.1,0.0,25.0,3,0.0,29118.52,79,MOGIELICA
2020-02-17,13.4,3.8,7.7,0.0,25.0,3,0.0,28392.57,78,MOGIELICA
2020-02-18,6.4,0.5,4.1,3.4,22.0,55,0.0,32245.48,57,MOGIELICA
2020-02-19,5.7,-0.6,1.9,1.6,20.0,75,1.05,31578.01,59,MOGIELICA
2020-02-20,1.7,-2.4,-0.5,1.6,19.8,73,1.12,9408.01,79,MOGIELICA
2020-02-21,2.0,-3.2,-0.4,7.8,25.8,75,5.39,3101.56,68,MOGIELICA
2020-02-22,5.5,-3.0,1.5,0.4,31.3,73,0.28,29089.3,67,MOGIELICA
2020-02-23,6.8,4.4,5.2,11.9,30.6,61,0.0,1427.62,98,MOGIELICA
2020-02-24,7.8,-1.4,1.2,13.0,42.0,75,5.39,2956.99,87,MOGIELICA
2020-02-25,8.0,1.3,5.5,2.6,30.3,71,0.14,1999.51,94,MOGIELICA
2020-02-26,5.6,-0.6,3.6,1.4,18.4,51,0.0,286.49,95,MOGIELICA
2020-02-27,2.6,-2.4,-0.6,2.6,23.4,75,1.82,28789.91,75,MOGIELICA
2020-02-28,1.0,-2.5,-1.4,5.0,19.8,73,3.5,12880.38,95,MOGIELICA
2020-02-29,5.0,-3.2,1.0,0.1,24.0,51,0.0,21025.08,84,MOGIELICA
2020-03-01,6.9,1.9,3.6,1.2,22.3,51,0.0,6345.69,97,MOGIELICA
2020-03-02,6.6,0.6,3.7,1.5,24.5,51,0.0,13918.57,73,MOGIELICA
2020-03-03,10.3,1.1,5.9,1.6,21.5,53,0.0,11853.47,94,MOGIELICA
2020-03-04,3.5,0.1,1.2,4.9,17.3,73,3.36,0.0,98,MOGIELICA
2020-03-05,6.2,-2.7,1.2,0.0,13.0,1,0.0,36352.76,5,MOGIELICA
2020-03-06,5.7,-1.5,2.1,1.3,18.0,73,0.84,14326.2,83,MOGIELICA
2020-03-07,6.1,0.5,2.8,0.6,18.6,71,0.14,23118.81,78,MOGIELICA
2020-03-08,3.2,-0.4,1.0,1.2,18.2,71,0.77,13768.3,94,MOGIELICA
2020-03-09,7.1,-2.0,2.0,0.0,11.2,3,0.0,37332.88,25,MOGIELICA
2020-03-10,7.3,-0.9,3.2,0.0,16.6,3,0.0,9870.1,62,MOGIELICA
2020-03-11,8.2,4.3,6.5,3.8,28.8,55,0.0,10799.03,89,MOGIELICA
2020-03-12,14.1,5.9,9.7,1.4,35.0,53,0.0,33542.08,62,MOGIELICA
2020-03-13,7.2,2.2,4.9,1.5,24.3,71,0.14,36105.86,61,MOGIELICA
2020-03-14,2.3,-3.5,0.2,0.9,23.6,73,0.63,33451.66,55,MOGIELICA
2020-03-15,6.0,-6.0,-0.7,0.0,13.8,3,0.0,38630.44,9,MOGIELICA
2020-03-16,9.8,-1.9,3.9,0.0,22.4,3,0.0,38542.5,57,MOGIELICA
2020-03-17,11.9,2.0,6.7,0.0,18.4,2,0.0,38849.98,11,MOGIELICA
2020-03-18,14.5,3.5,9.1,0.0,9.7,2,0.0,39086.68,30,MOGIELICA
2020-03-19,16.1,5.5,10.2,0.0,13.7,3,0.0,38935.74,45,MOGIELICA
2020-03-20,11.7,5.2,8.2,1.7,7.2,51,0.0,26868.52,68,MOGIELICA
2020-03-21,6.1,-2.9,1.0,11.8,18.0,75,7.42,0.0,93,MOGIELICA
2020-03-22,-1.8,-7.0,-4.4,3.1,20.0,73,2.17,38908.62,59,MOGIELICA
2020-03-23,-2.4,-7.1,-5.0,1.0,23.3,71,0.7,3476.4,85,MOGIELICA
2020-03-24,0.1,-7.6,-4.1,0.0,19.6,0,0.0,41064.6,2,MOGIELICA
2020-03-25,2.1,-6.8,-2.7,0.0,19.8,3,0.0,39526.82,16,MOGIELICA
2020-03-26,9.0,-3.3,2.9,0.0,17.5,3,0.0,40937.71,64,MOGIELICA
2020-03-27,12.9,1.9,7.4,0.0,13.8,1,0.0,41547.58,2,MOGIELICA
2020-03-28,11.9,1.0,6.8,0.3,10.0,51,0.0,41639.87,25,MOGIELICA
2020-03-29,10.2,0.9,5.8,1.0,22.4,71,0.07,39984.32,58,MOGIELICA
2020-03-30,-0.4,-4.5,-2.7,4.5,21.2,73,3.15,31448.07,69,MOGIELICA
2020-03-31,1.7,-7.2,-2.4,1.1,11.3,73,0.77,39448.48,26,MOGIELICA
2020-04-01,5.4,-5.6,-0.8,0.0,10.0,3,0.0,42115.89,15,MOGIELICA
2020-04-02,8.4,-2.7,2.5,0.0,14.8,0,0.0,42453.77,0,MOGIELICA
2020-04-03,8.0,1.3,4.2,0.0,22.1,3,0.0,32170.96,34,MOGIELICA
2020-04-04,8.6,0.3,4.2,0.0,12.6,3,0.0,42766.09,28,MOGIELICA
2020-04-05,9.9,-0.5,4.9,0.0,16.3,0,0.0,43191.24,0,MOGIELICA
2020-04-06,16.0,2.3,9.1,0.0,15.2,0,0.0,43540.3,0,MOGIELICA
2020-04-07,16.8,4.0,10.4,0.0,11.8,0,0.0,43910.21,0,MOGIELICA
2020-04-08,17.4,3.0,10.9,0.0,9.5,0,0.0,44317.38,0,MOGIELICA
2020-04-09,18.3,6.8,12.2,0.0,18.4,2,0.0,44529.56,5,MOGIELICA
2020-04-10,10.8,5.6,8.0,0.0,13.2,3,0.0,44309.91,63,MOGIELICA
2020-04-11,12.0,2.1,7.2,0.0,10.3,2,0.0,44952.22,19,MOGIELICA
2020-04-12,17.2,3.8,10.7,0.0,15.4,3,0.0,45162.44,21,MOGIELICA
2020-04-13,17.7,2.8,10.7,9.7,23.4,61,0.0,38496.85,68,MOGIELICA
2020-04-14,4.2,-1.2,1.4,4.2,20.6,73,2.24,40496.84,78,MOGIELICA
2020-04-15,8.5,-1.5,3.9,0.0,21.2,3,0.0,35988.12,51,MOGIELICA
2020-04-16,17.9,4.1,10.7,0.0,19.8,3,0.0,44322.31,37,MOGIELICA
2020-04-17,14.5,6.7,10.4,0.0,18.7,3,0.0,45962.93,73,MOGIELICA
2020-04-18,13.3,3.2,7.8,0.0,10.5,3,0.0,46078.07,25,MOGIELICA
2020-04-19,10.2,2.0,6.3,0.0,14.0,3,0.0,31218.8,66,MOGIELICA
2020-04-20,9.0,0.1,4.6,0.0,13.5,3,0.0,46303.98,22,MOGIELICA
2020-04-21,9.9,1.4,5.6,0.0,18.2,2,0.0,46414.49,5,MOGIELICA
2020-04-22,11.7,1.5,6.9,0.0,15.9,2,0.0,46523.21,23,MOGIELICA
2020-04-23,15.3,3.2,9.4,0.0,12.3,3,0.0,46742.91,19,MOGIELICA
2020-04-24,17.6,6.8,12.4,0.0,16.2,3,0.0,46735.85,89,MOGIELICA
2020-04-25,11.6,4.8,8.6,4.2,28.5,55,0.0,46800.0,64,MOGIELICA
2020-04-26,9.5,1.8,6.1,0.0,13.1,3,0.0,22984.12,69,MOGIELICA
2020-04-27,15.2,2.8,9.2,0.0,11.2,3,0.0,41924.3,57,MOGIELICA
2020-04-28,18.0,7.9,13.0,0.2,15.8,51,0.0,45443.71,41,MOGIELICA
2020-04-29,19.0,9.6,13.2,9.9,13.4,63,0.0,42879.53,62,MOGIELICA
2020-04-30,14.3,8.4,10.8,2.8,15.2,53,0.0,27818.6,84,MOGIELICA
2020-05-01,15.3,6.9,10.5,5.1,15.5,61,0.0,12154.27,93,MOGIELICA
2020-05-02,13.7,6.4,9.3,5.0,13.0,61,0.0,45395.11,51,MOGIELICA
2020-05-03,8.7,4.1,6.4,5.3,19.3,61,0.0,31160.58,73,MOGIELICA
2020-05-04,12.0,3.7,7.8,0.2,11.3,51,0.0,45083.7,50,MOGIELICA
2020-05-05,8.4,2.3,6.1,5.4,20.2,71,0.07,22825.5,57,MOGIELICA
2020-05-06,5.6,0.6,3.1,21.3,30.2,75,2.73,3600.0,89,MOGIELICA
2020-05-07,7.6,2.1,5.5,0.2,24.8,51,0.0,16903.24,70,MOGIELICA
2020-05-08,16.4,3.6,9.9,0.0,11.9,3,0.0,43620.96,71,MOGIELICA
