time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-0.3,-4.0,-1.8,0.0,10.7,3,0.0,18685.77,60,ORLICA
2020-01-02,6.0,-1.9,1.9,0.0,18.4,2,0.0,24360.38,5,ORLICA
2020-01-03,1.2,-4.2,-1.5,0.3,20.9,71,0.07,15870.9,55,ORLICA
2020-01-04,1.7,-2.0,-0.3,12.6,23.8,75,7.0,0.0,93,ORLICA
2020-01-05,-1.5,-7.7,-3.5,0.0,24.0,3,0.0,24051.43,45,ORLICA
2020-01-06,-1.8,-6.7,-3.6,0.0,12.4,3,0.0,5506.85,74,ORLICA
2020-01-07,-1.6,-6.8,-3.9,0.0,13.2,3,0.0,24842.96,52,ORLICA
2020-01-08,0.8,-1.7,-0.4,2.3,13.6,61,0.0,2004.02,99,ORLICA
2020-01-09,2.7,0.3,1.2,7.0,19.0,55,0.0,0.0,100,ORLICA
2020-01-10,3.6,-0.4,1.3,0.1,20.2,51,0.0,13448.11,86,ORLICA
2020-01-11,1.9,-1.3,-0.0,0.5,20.6,51,0.0,0.0,97,ORLICA
2020-01-12,1.7,-2.4,-1.2,0.0,18.7,3,0.0,24418.34,82,ORLICA
2020-01-13,0.4,-2.5,-1.1,0.0,15.2,3,0.0,0.0,94,ORLICA
2020-01-14,-1.3,-3.4,-2.6,0.0,21.5,3,0.0,16489.83,96,ORLICA
2020-01-15,0.4,-3.6,-2.6,0.0,25.4,3,0.0,22983.68,84,ORLICA
2020-01-16,3.7,-3.6,-0.8,0.0,17.7,3,0.0,26053.72,34,ORLICA
2020-01-17,2.1,-3.7,0.1,0.0,28.7,3,0.0,23614.68,39,ORLICA
2020-01-18,-0.6,-2.9,-2.0,2.0,20.1,73,1.4,0.0,100,ORLICA
2020-01-19,0.8,-2.8,-1.4,1.0,11.8,71,0.63,69.69,100,ORLICA
2020-01-20,0.1,-5.5,-1.8,0.9,10.9,71,0.63,13185.51,81,ORLICA
2020-01-21,-1.6,-5.9,-3.8,0.0,9.4,2,0.0,26908.3,26,ORLICA
2020-01-22,-2.5,-8.4,-5.5,0.1,10.1,71,0.07,11001.45,87,ORLICA
2020-01-23,-1.8,-5.3,-2.9,0.0,12.3,3,0.0,9822.14,88,ORLICA
2020-01-24,-3.7,-6.1,-4.9,0.0,20.6,3,0.0,0.0,68,ORLICA
2020-01-25,-1.5,-7.6,-4.9,0.0,8.7,3,0.0,23551.84,69,ORLICA
2020-01-26,-2.0,-6.1,-4.3,0.0,10.8,3,0.0,7069.2,95,ORLICA
2020-01-27,1.3,-3.6,-1.4,0.2,20.5,51,0.0,11442.43,92,ORLICA
2020-01-28,0.4,-3.7,-1.8,4.7,25.1,73,3.08,5581.82,97,ORLICA
2020-01-29,0.3,-4.0,-2.1,2.0,25.3,73,1.4,17894.59,87,ORLICA
2020-01-30,2.2,-3.0,-0.6,1.2,27.5,73,0.91,0.0,96,ORLICA
2020-01-31,6.9,-0.3,3.9,5.8,29.2,73,0.35,11027.83,90,ORLICA
2020-02-01,9.3,4.1,6.6,7.0,25.1,63,0.0,13502.91,100,ORLICA
2020-02-02,6.3,1.8,3.9,12.3,26.6,61,0.0,3898.99,97,ORLICA
2020-02-03,6.1,2.5,3.9,11.7,29.7,71,0.14,6323.21,99,ORLICA
2020-02-04,2.9,-2.3,0.5,23.0,26.0,75,9.38,11204.68,85,ORLICA
2020-02-05,-1.0,-8.5,-2.8,4.9,32.8,73,3.29,20507.07,80,ORLICA
2020-02-06,-1.0,-11.4,-4.6,0.5,20.4,71,0.35,3874.53,92,ORLICA
2020-02-07,0.8,-1.3,-0.4,1.7,13.1,71,0.77,0.0,100,ORLICA
2020-02-08,0.7,-2.8,-1.4,0.0,19.0,3,0.0,30254.66,23,ORLICA
2020-02-09,3.5,-4.3,-1.1,0.0,33.2,3,0.0,30374.0,32,ORLICA
2020-02-10,6.2,-0.7,2.1,14.9,42.6,73,2.59,10818.55,87,ORLICA
2020-02-11,1.6,-2.0,-0.2,12.4,35.8,75,7.84,27643.46,71,ORLICA
2020-02-12,-0.1,-3.5,-2.1,4.9,28.2,75,3.43,12437.51,75,ORLICA
2020-02-13,1.3,-4.0,-1.5,3.7,25.7,73,2.45,19001.77,92,ORLICA
2020-02-14,2.8,-1.4,0.8,1.3,24.5,71,0.14,9868.06,93,ORLICA
2020-02-15,3.4,-1.7,1.1,0.0,21.1,3,0.0,12557.69,90,ORLICA
2020-02-16,6.4,0.2,2.9,0.0,31.7,3,0.0,24893.95,84,ORLICA
2020-02-17,8.5,2.5,5.1,4.0,32.3,53,0.0,12202.0,92,ORLICA
2020-02-18,4.2,-0.4,2.4,2.5,23.7,73,0.49,24113.5,70,ORLICA
2020-02-19,3.0,-2.0,0.1,6.6,24.2,73,2.66,8301.49,78,ORLICA
2020-02-20,2.8,-3.4,-0.0,0.9,17.2,73,0.63,23345.03,79,ORLICA
2020-02-21,1.8,-5.4,0.3,8.4,24.9,75,3.85,27028.12,66,ORLICA
2020-02-22,6.9,-7.2,1.9,0.0,25.1,3,0.0,19798.82,82,ORLICA
2020-02-23,7.4,4.5,5.5,22.2,40.7,63,0.0,0.0,99,ORLICA
2020-02-24,5.2,-1.0,1.3,3.3,39.7,73,0.35,15258.29,80,ORLICA
2020-02-25,5.8,1.7,4.3,18.5,23.4,61,0.0,0.0,100,ORLICA
2020-02-26,3.3,-2.6,0.8,6.1,23.2,73,2.66,17316.61,89,ORLICA
2020-02-27,1.2,-2.9,-1.5,1.3,23.5,73,0.84,28697.32,89,ORLICA
2020-02-28,0.1,-5.3,-1.7,3.4,21.1,73,2.38,28956.3,71,ORLICA
2020-02-29,1.2,-7.5,-1.6,0.7,30.1,73,0.49,7581.09,96,ORLICA
2020-03-01,6.2,0.8,3.1,1.4,26.0,51,0.0,28216.63,71,ORLICA
2020-03-02,4.9,1.7,3.2,4.6,27.8,61,0.0,7370.83,82,ORLICA
2020-03-03,5.2,0.2,3.2,6.5,27.4,73,0.42,0.0,100,ORLICA
2020-03-04,3.4,-1.6,0.5,1.0,14.4,71,0.56,35380.45,64,ORLICA
2020-03-05,4.7,-2.6,1.2,0.0,29.4,3,0.0,28725.32,69,ORLICA
2020-03-06,4.1,0.0,2.0,8.4,29.5,73,3.36,1368.14,96,ORLICA
2020-03-07,1.9,-0.5,0.6,4.0,23.6,73,1.54,6040.03,96,ORLICA
2020-03-08,4.0,-3.3,0.6,0.0,13.1,3,0.0,27164.95,55,ORLICA
2020-03-09,4.8,0.4,2.2,0.6,15.6,51,0.0,6872.06,95,ORLICA
2020-03-10,6.0,0.4,2.4,1.9,25.7,51,0.0,10032.33,98,ORLICA
2020-03-11,7.1,2.4,4.8,15.4,25.2,61,0.0,349.39,100,ORLICA
2020-03-12,12.4,4.2,7.6,7.3,40.8,63,0.0,26942.96,82,ORLICA
2020-03-13,5.7,1.4,3.4,3.1,31.3,73,0.28,32769.95,70,ORLICA
2020-03-14,3.0,-3.5,-0.2,0.7,17.0,71,0.42,38021.57,46,ORLICA
