time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-3.6,-10.3,-5.4,0.3,21.9,71,0.14,6701.09,63,RADZIEJOWA
2020-01-02,2.1,-13.6,-7.9,0.0,14.8,3,0.0,24548.89,46,RADZIEJOWA
2020-01-03,-0.0,-12.1,-8.1,0.0,13.7,3,0.0,24869.79,32,RADZIEJOWA
2020-01-04,-1.3,-9.1,-4.1,2.4,18.4,73,1.33,5507.09,91,RADZIEJOWA
2020-01-05,-4.9,-9.0,-7.4,5.6,26.1,73,3.92,4197.28,88,RADZIEJOWA
2020-01-06,-4.6,-14.8,-9.7,0.0,10.1,3,0.0,20083.57,77,RADZIEJOWA
2020-01-07,-3.7,-13.4,-9.9,0.0,9.2,3,0.0,25268.25,24,RADZIEJOWA
2020-01-08,-2.5,-9.6,-6.7,0.0,10.7,3,0.0,21868.48,70,RADZIEJOWA
2020-01-09,-3.7,-7.6,-5.3,4.7,17.2,53,0.0,7200.0,98,RADZIEJOWA
2020-01-10,-0.5,-8.0,-4.8,0.0,17.4,3,0.0,24768.06,70,RADZIEJOWA
2020-01-11,-2.1,-4.9,-3.2,0.8,16.7,71,0.14,0.0,86,RADZIEJOWA
2020-01-12,-0.1,-6.0,-4.1,0.0,12.2,3,0.0,26021.51,69,RADZIEJOWA
2020-01-13,-1.5,-7.2,-5.3,0.0,12.3,3,0.0,14400.0,98,RADZIEJOWA
2020-01-14,-3.0,-7.8,-6.4,0.0,18.0,3,0.0,24551.54,71,RADZIEJOWA
2020-01-15,-0.4,-8.2,-5.6,0.0,22.7,3,0.0,26433.81,46,RADZIEJOWA
2020-01-16,1.3,-7.6,-3.2,0.0,16.7,3,0.0,12669.36,80,RADZIEJOWA
2020-01-17,0.1,-7.8,-3.5,0.0,23.0,3,0.0,24947.95,70,RADZIEJOWA
2020-01-18,0.0,-5.7,-3.1,0.0,18.8,3,0.0,26730.7,89,RADZIEJOWA
2020-01-19,-4.2,-5.9,-4.8,1.3,9.4,71,0.91,0.0,99,RADZIEJOWA
2020-01-20,-4.0,-5.5,-4.6,0.6,13.6,73,0.49,0.0,98,RADZIEJOWA
2020-01-21,1.1,-8.6,-4.5,0.0,7.6,3,0.0,27396.34,40,RADZIEJOWA
2020-01-22,0.9,-7.7,-4.8,1.2,21.1,73,0.84,16796.2,58,RADZIEJOWA
2020-01-23,-2.9,-8.7,-5.9,0.4,18.9,73,0.35,26448.48,48,RADZIEJOWA
2020-01-24,1.0,-10.1,-6.2,0.0,13.8,1,0.0,27773.49,8,RADZIEJOWA
2020-01-25,0.1,-10.9,-6.9,0.0,8.5,2,0.0,27833.52,22,RADZIEJOWA
2020-01-26,-0.5,-10.6,-7.4,0.0,10.6,3,0.0,27932.81,79,RADZIEJOWA
2020-01-27,1.9,-8.8,-4.6,0.1,9.3,51,0.0,28189.33,30,RADZIEJOWA
2020-01-28,-3.0,-6.0,-4.9,3.4,20.1,75,2.38,10151.57,97,RADZIEJOWA
2020-01-29,-1.9,-6.0,-4.3,0.0,18.0,3,0.0,27132.85,83,RADZIEJOWA
2020-01-30,-0.7,-5.8,-3.7,0.4,17.4,71,0.28,11463.46,89,RADZIEJOWA
2020-01-31,2.9,-4.4,-0.8,7.8,19.8,75,2.59,9427.83,94,RADZIEJOWA
2020-02-01,7.9,-0.2,2.2,2.4,13.0,61,0.0,28589.05,81,RADZIEJOWA
2020-02-02,3.2,-2.0,0.8,4.7,20.9,71,0.21,19947.01,82,RADZIEJOWA
