time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-1.0,-9.0,-5.0,0.0,15.2,3,0.0,23795.63,40,RUDAWIEC
2020-01-02,3.3,-7.9,-2.1,0.0,25.8,1,0.0,24411.92,3,RUDAWIEC
2020-01-03,-1.0,-5.0,-3.3,0.1,24.2,71,0.07,21400.79,43,RUDAWIEC
2020-01-04,0.5,-3.5,-1.6,6.1,22.8,73,3.57,11093.18,90,RUDAWIEC
2020-01-05,-4.0,-11.1,-6.0,1.8,25.6,73,1.26,21249.18,53,RUDAWIEC
2020-01-06,-3.3,-12.9,-7.0,0.0,14.5,3,0.0,18022.94,70,RUDAWIEC
2020-01-07,-2.6,-8.1,-5.7,0.0,19.5,3,0.0,24895.52,72,RUDAWIEC
2020-01-08,-0.3,-3.3,-2.1,2.8,23.0,53,0.0,8560.65,100,RUDAWIEC
2020-01-09,0.9,-1.9,-0.3,6.3,24.1,55,0.0,3895.83,100,RUDAWIEC
2020-01-10,0.7,-3.3,-1.4,0.0,22.4,3,0.0,20849.17,88,RUDAWIEC
2020-01-11,0.6,-2.5,-1.4,0.1,16.4,51,0.0,0.0,97,RUDAWIEC
2020-01-12,-2.4,-4.4,-3.4,0.0,28.9,3,0.0,24181.41,95,RUDAWIEC
2020-01-13,-1.4,-4.2,-3.1,0.0,25.4,3,0.0,8239.4,99,RUDAWIEC
2020-01-14,-3.3,-6.7,-5.5,0.0,23.3,3,0.0,20722.76,100,RUDAWIEC
2020-01-15,-0.7,-6.0,-4.4,0.4,36.8,51,0.0,23896.47,85,RUDAWIEC
2020-01-16,5.0,-4.9,-0.5,0.0,28.5,3,0.0,25660.23,52,RUDAWIEC
2020-01-17,0.5,-6.1,-2.2,0.0,35.0,3,0.0,17543.37,57,RUDAWIEC
2020-01-18,-1.7,-5.8,-3.6,4.7,26.7,73,3.22,0.0,100,RUDAWIEC
2020-01-19,-2.5,-4.2,-3.0,8.1,16.2,73,5.67,0.0,100,RUDAWIEC
2020-01-20,-2.9,-7.2,-3.9,1.2,14.2,71,0.84,2327.22,94,RUDAWIEC
2020-01-21,-0.7,-9.9,-6.3,0.0,9.5,3,0.0,26950.35,37,RUDAWIEC
2020-01-22,-1.0,-8.4,-4.9,0.0,15.8,3,0.0,13364.89,64,RUDAWIEC
2020-01-23,-2.3,-6.2,-4.2,0.0,14.7,3,0.0,21078.94,74,RUDAWIEC
2020-01-24,-5.2,-7.8,-6.5,0.0,27.4,3,0.0,19414.59,72,RUDAWIEC
2020-01-25,-0.7,-9.2,-6.4,0.0,10.5,3,0.0,27704.65,37,RUDAWIEC
2020-01-26,-0.6,-9.6,-6.2,0.0,11.4,3,0.0,27701.02,70,RUDAWIEC
2020-01-27,1.2,-6.6,-2.7,0.0,22.8,3,0.0,28099.26,84,RUDAWIEC
2020-01-28,-3.2,-5.6,-4.0,3.2,28.5,73,2.24,1504.36,100,RUDAWIEC
2020-01-29,-2.0,-5.6,-3.7,1.5,21.3,73,1.05,25504.1,85,RUDAWIEC
2020-01-30,-0.2,-4.3,-2.4,0.7,24.1,71,0.49,1363.75,94,RUDAWIEC
2020-01-31,5.0,-1.7,2.2,2.0,28.6,73,0.28,20753.85,92,RUDAWIEC
2020-02-01,5.7,3.0,4.0,2.4,23.4,55,0.0,16776.03,99,RUDAWIEC
2020-02-02,4.2,0.1,1.8,7.2,21.3,71,0.14,17127.12,95,RUDAWIEC
2020-02-03,4.5,0.3,1.7,8.6,24.9,73,0.63,6604.77,98,RUDAWIEC
2020-02-04,0.8,-3.4,-1.5,25.8,25.0,75,16.03,2806.43,98,RUDAWIEC
2020-02-05,-3.6,-7.7,-5.1,13.6,33.2,75,9.45,16869.51,83,RUDAWIEC
2020-02-06,-2.8,-10.9,-6.0,0.5,15.0,71,0.35,4720.86,77,RUDAWIEC
2020-02-07,-1.2,-4.7,-2.4,3.9,13.5,73,2.73,0.0,95,RUDAWIEC
2020-02-08,-2.0,-7.2,-4.7,0.0,26.9,3,0.0,30354.62,17,RUDAWIEC
2020-02-09,-2.0,-5.9,-3.9,0.0,37.6,3,0.0,30255.69,49,RUDAWIEC
2020-02-10,2.5,-3.1,-0.9,13.3,39.9,75,7.77,11571.51,87,RUDAWIEC
2020-02-11,-0.6,-3.6,-2.3,10.0,28.9,75,7.0,29303.16,71,RUDAWIEC
2020-02-12,-3.1,-4.7,-4.1,1.3,25.6,73,0.91,17779.03,71,RUDAWIEC
2020-02-13,-1.2,-5.3,-3.3,1.5,28.5,73,1.05,28469.78,88,RUDAWIEC
2020-02-14,0.7,-1.8,-0.7,3.7,26.0,73,2.17,7747.39,95,RUDAWIEC
2020-02-15,1.1,-2.4,-0.7,0.0,31.4,3,0.0,27008.26,91,RUDAWIEC
2020-02-16,2.1,-1.8,0.2,0.1,36.0,51,0.0,18443.38,91,RUDAWIEC
2020-02-17,3.6,-1.2,1.3,1.6,34.6,51,0.0,19082.28,91,RUDAWIEC
2020-02-18,2.1,-1.9,0.3,1.1,23.7,71,0.21,26773.6,70,RUDAWIEC
2020-02-19,0.3,-3.6,-1.8,4.0,20.6,75,2.8,13247.27,72,RUDAWIEC
2020-02-20,0.3,-4.7,-1.9,1.6,21.1,73,1.12,29192.39,69,RUDAWIEC
2020-02-21,-0.7,-5.0,-1.8,6.0,27.0,75,4.2,24354.31,66,RUDAWIEC
2020-02-22,3.5,-5.2,-0.8,0.3,28.7,51,0.0,18795.27,83,RUDAWIEC
2020-02-23,5.0,2.1,3.1,12.1,36.4,61,0.0,850.2,98,RUDAWIEC
2020-02-24,3.7,-3.1,-1.0,3.3,30.2,73,0.42,25641.06,81,RUDAWIEC
2020-02-25,3.3,-0.9,1.8,7.5,26.1,55,0.0,0.0,100,RUDAWIEC
2020-02-26,0.8,-4.0,-1.2,0.5,20.3,71,0.14,15377.65,91,RUDAWIEC
