time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-11.3,-15.7,-13.0,0.0,20.9,3,0.0,24683.23,56,RYSY
2020-01-02,3.7,-14.8,-8.5,0.0,15.1,3,0.0,24675.73,42,RYSY
2020-01-03,4.0,-11.5,-8.0,0.0,17.0,3,0.0,25237.65,24,RYSY
2020-01-04,-8.5,-12.7,-10.4,2.8,13.1,73,1.96,7035.28,95,RYSY
2020-01-05,-12.2,-16.9,-15.6,9.0,15.2,75,6.3,14201.78,96,RYSY
2020-01-06,-11.2,-21.1,-15.8,0.0,7.1,3,0.0,15617.13,72,RYSY
2020-01-07,-9.1,-17.5,-13.9,0.0,11.5,1,0.0,25614.34,10,RYSY
2020-01-08,-7.7,-17.5,-13.4,0.0,10.5,3,0.0,25721.89,43,RYSY
2020-01-09,-3.4,-9.4,-6.0,5.4,9.0,71,0.14,7200.0,96,RYSY
2020-01-10,-2.6,-9.4,-5.9,0.0,9.8,3,0.0,24706.9,62,RYSY
2020-01-11,-8.7,-11.1,-9.8,0.7,13.0,71,0.49,0.0,89,RYSY
2020-01-12,-6.1,-11.9,-10.4,0.0,11.5,3,0.0,26199.98,58,RYSY
2020-01-13,-7.4,-13.5,-10.5,0.0,15.5,3,0.0,18865.53,97,RYSY
2020-01-14,-7.9,-12.8,-11.1,0.0,9.9,3,0.0,26103.39,55,RYSY
2020-01-15,-4.3,-12.4,-9.1,0.0,13.0,2,0.0,26606.43,27,RYSY
2020-01-16,-5.0,-12.0,-9.1,0.0,17.1,3,0.0,23457.77,71,RYSY
2020-01-17,-4.9,-9.0,-7.1,0.0,10.5,3,0.0,13934.52,71,RYSY
2020-01-18,-7.0,-14.7,-11.3,0.0,11.7,3,0.0,26761.4,75,RYSY
2020-01-19,-10.9,-15.9,-12.4,1.6,10.0,71,1.12,0.0,97,RYSY
2020-01-20,-10.5,-15.6,-12.4,0.1,10.1,71,0.07,17839.65,85,RYSY
2020-01-21,-3.4,-15.3,-9.6,0.0,11.7,3,0.0,27566.27,22,RYSY
2020-01-22,-5.2,-12.8,-10.0,0.5,14.2,71,0.35,21605.11,50,RYSY
2020-01-23,-8.6,-15.3,-12.9,0.3,14.8,71,0.21,27830.14,50,RYSY
2020-01-24,-6.8,-15.0,-11.6,0.0,14.0,0,0.0,27978.44,3,RYSY
2020-01-25,-4.6,-14.8,-8.2,0.0,10.2,1,0.0,28077.87,10,RYSY
2020-01-26,-4.7,-12.0,-7.7,0.0,9.9,3,0.0,28193.26,28,RYSY
2020-01-27,-5.0,-12.6,-7.7,0.4,9.8,71,0.28,28388.63,20,RYSY
2020-01-28,-8.9,-13.5,-11.0,4.2,13.5,75,2.94,5374.09,94,RYSY
2020-01-29,-11.0,-14.4,-12.9,0.4,14.2,71,0.28,24840.11,87,RYSY
2020-01-30,-10.4,-14.5,-12.0,0.7,11.9,71,0.49,16139.66,99,RYSY
2020-01-31,-3.9,-11.1,-7.4,4.3,18.8,75,2.59,9277.19,98,RYSY
2020-02-01,-2.7,-7.8,-5.0,0.0,13.5,3,0.0,21113.85,88,RYSY
2020-02-02,-4.9,-8.1,-6.7,9.8,16.6,75,5.11,20920.22,93,RYSY
2020-02-03,-5.8,-9.0,-7.3,18.1,13.0,75,11.62,1789.36,99,RYSY
2020-02-04,-7.2,-12.1,-9.2,26.4,27.2,75,18.48,0.0,100,RYSY
2020-02-05,-11.7,-19.4,-14.4,8.7,25.9,75,6.02,7338.17,83,RYSY
2020-02-06,-12.4,-18.1,-15.2,1.8,21.6,73,1.26,9607.2,90,RYSY
2020-02-07,-10.9,-18.8,-13.0,6.5,8.9,73,4.62,0.0,78,RYSY
2020-02-08,-2.9,-18.6,-11.3,0.0,9.5,0,0.0,30853.63,1,RYSY
2020-02-09,-2.9,-12.6,-10.3,0.0,12.6,3,0.0,31171.28,20,RYSY
2020-02-10,-7.3,-11.7,-9.7,5.6,19.5,75,3.92,4068.24,96,RYSY
2020-02-11,-10.6,-13.9,-11.9,11.5,20.1,75,8.05,22079.92,89,RYSY
2020-02-12,-12.2,-15.6,-14.1,2.5,13.7,73,1.75,23686.17,95,RYSY
2020-02-13,-11.3,-15.8,-13.7,0.0,15.8,3,0.0,28805.17,73,RYSY
2020-02-14,-8.0,-11.3,-9.9,2.8,14.9,73,1.96,5228.84,100,RYSY
2020-02-15,-7.1,-12.4,-10.4,0.4,9.1,71,0.28,31709.74,79,RYSY
2020-02-16,-5.1,-10.2,-7.6,0.0,13.9,3,0.0,31466.85,88,RYSY
2020-02-17,-1.2,-8.3,-5.2,0.0,13.9,3,0.0,26168.24,81,RYSY
2020-02-18,-3.9,-12.0,-7.9,1.4,10.4,73,0.56,27074.88,77,RYSY
2020-02-19,-8.4,-13.5,-10.9,1.5,12.5,73,1.05,25185.35,86,RYSY
2020-02-20,-10.4,-13.8,-11.9,2.0,9.7,75,1.4,31384.59,91,RYSY
2020-02-21,-9.4,-15.0,-12.1,7.7,14.1,75,5.46,2545.85,79,RYSY
2020-02-22,-7.9,-15.8,-11.0,0.1,14.1,51,0.0,27411.64,78,RYSY
2020-02-23,-5.6,-8.3,-7.0,19.1,19.4,75,13.02,8710.42,93,RYSY
2020-02-24,-4.9,-12.9,-10.6,7.4,22.0,75,3.29,17308.08,88,RYSY
2020-02-25,-4.7,-10.4,-7.3,2.2,17.1,73,1.26,13770.86,91,RYSY
2020-02-26,-6.2,-14.0,-8.6,2.7,9.4,73,1.68,1183.93,92,RYSY
2020-02-27,-10.2,-14.7,-12.6,2.5,9.7,75,1.75,35027.4,76,RYSY
2020-02-28,-11.6,-14.3,-12.9,9.1,15.6,73,6.37,13635.26,97,RYSY
2020-02-29,-9.9,-14.5,-12.1,0.3,20.7,71,0.21,20958.6,94,RYSY
2020-03-01,-6.5,-10.0,-8.5,2.7,15.8,73,1.89,3940.59,100,RYSY
2020-03-02,-5.8,-9.2,-7.9,6.9,15.8,73,4.83,14275.62,75,RYSY
2020-03-03,-4.4,-6.9,-5.6,4.3,14.2,73,0.98,170.39,99,RYSY
2020-03-04,-7.8,-11.4,-9.4,7.7,13.1,73,5.39,0.0,97,RYSY
2020-03-05,-7.8,-14.4,-11.6,0.0,9.2,2,0.0,36592.16,10,RYSY
2020-03-06,-9.0,-13.3,-10.5,1.8,17.5,73,1.26,0.0,91,RYSY
2020-03-07,-6.4,-11.3,-9.3,0.2,7.2,71,0.14,28763.73,89,RYSY
2020-03-08,-8.1,-11.2,-10.0,0.4,7.0,71,0.28,27719.72,94,RYSY
2020-03-09,-6.0,-12.4,-9.8,0.0,9.9,3,0.0,33474.97,49,RYSY
2020-03-10,-5.5,-11.8,-9.1,0.0,10.0,3,0.0,30941.04,55,RYSY
2020-03-11,-2.5,-8.4,-5.2,4.9,16.3,71,0.14,20300.52,97,RYSY
2020-03-12,-0.7,-7.6,-3.7,0.6,21.0,51,0.0,32446.5,69,RYSY
2020-03-13,-5.3,-11.7,-7.5,1.9,15.0,73,0.7,26260.41,60,RYSY
2020-03-14,-9.0,-15.1,-11.5,0.2,9.7,71,0.14,38421.95,68,RYSY
2020-03-15,-7.0,-17.5,-11.6,0.0,10.1,3,0.0,38800.07,14,RYSY
2020-03-16,-6.0,-12.7,-9.3,0.0,21.1,3,0.0,38377.5,51,RYSY
2020-03-17,-0.9,-11.3,-6.6,0.0,11.1,2,0.0,39033.6,14,RYSY
2020-03-18,0.1,-7.8,-4.2,0.0,9.4,3,0.0,36678.76,24,RYSY
2020-03-19,1.9,-6.7,-3.0,0.0,9.6,2,0.0,39535.75,21,RYSY
2020-03-20,0.8,-5.1,-2.2,0.4,7.8,51,0.0,37638.0,55,RYSY
2020-03-21,-4.8,-14.1,-9.7,13.8,17.1,75,9.45,0.0,92,RYSY
2020-03-22,-14.6,-18.7,-16.6,3.5,16.9,73,2.52,39359.62,78,RYSY
2020-03-23,-15.5,-18.6,-17.2,5.5,17.9,73,3.85,1299.77,91,RYSY
2020-03-24,-13.2,-19.6,-17.1,0.0,15.9,0,0.0,41078.85,1,RYSY
2020-03-25,-11.4,-21.3,-16.3,0.1,11.5,71,0.14,36500.71,24,RYSY
2020-03-26,-3.8,-14.5,-8.5,0.0,9.5,3,0.0,37878.96,58,RYSY
2020-03-27,-1.1,-5.6,-3.9,0.0,7.4,1,0.0,41569.68,2,RYSY
2020-03-28,-1.4,-10.6,-5.6,4.4,7.7,75,2.45,40648.44,38,RYSY
2020-03-29,-2.7,-9.0,-6.3,0.2,9.3,71,0.14,41283.05,55,RYSY
2020-03-30,-9.2,-16.7,-14.2,2.1,17.2,73,1.47,27439.73,73,RYSY
2020-03-31,-11.5,-18.7,-15.4,0.0,8.1,3,0.0,42098.28,23,RYSY
2020-04-01,-9.0,-18.7,-13.8,0.0,7.5,2,0.0,42199.5,17,RYSY
2020-04-02,-5.7,-16.8,-11.6,0.0,10.8,0,0.0,42538.0,0,RYSY
2020-04-03,-3.6,-14.1,-9.4,0.0,14.4,3,0.0,40494.11,38,RYSY
2020-04-04,-3.9,-12.8,-9.0,0.0,9.1,3,0.0,42957.35,18,RYSY
2020-04-05,-2.3,-12.4,-7.9,0.0,11.1,0,0.0,43284.89,0,RYSY
2020-04-06,0.8,-7.5,-3.9,0.0,10.8,0,0.0,43634.55,0,RYSY
2020-04-07,2.8,-8.0,-3.3,0.0,12.3,0,0.0,44066.5,0,RYSY
2020-04-08,3.4,-6.1,-0.6,0.0,7.6,0,0.0,44275.36,0,RYSY
2020-04-09,4.3,-6.3,-0.2,0.0,9.5,1,0.0,44483.85,2,RYSY
2020-04-10,-0.6,-10.0,-5.0,0.0,13.6,3,0.0,43880.94,56,RYSY
2020-04-11,-0.7,-10.0,-5.1,0.0,7.3,2,0.0,44899.14,17,RYSY
2020-04-12,1.9,-6.3,-2.8,0.0,11.9,1,0.0,45105.69,7,RYSY
2020-04-13,1.5,-7.8,-3.1,3.6,14.8,73,0.21,35729.67,72,RYSY
2020-04-14,-8.7,-13.7,-11.2,3.5,15.2,73,2.45,37271.82,76,RYSY
2020-04-15,-4.0,-14.9,-9.2,0.0,9.7,3,0.0,40258.64,45,RYSY
2020-04-16,3.3,-9.3,-3.7,0.0,11.3,3,0.0,45790.09,34,RYSY
2020-04-17,3.4,-8.1,-2.6,0.0,9.4,3,0.0,45904.72,74,RYSY
2020-04-18,2.5,-8.8,-2.9,0.0,6.6,3,0.0,46018.07,21,RYSY
2020-04-19,-1.0,-11.1,-4.9,0.0,10.3,71,0.07,22340.83,75,RYSY
2020-04-20,-3.8,-12.0,-8.6,0.0,11.5,1,0.0,46240.43,9,RYSY
2020-04-21,-3.1,-11.4,-7.9,0.0,13.9,0,0.0,46396.41,1,RYSY
