time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,1.6,-4.8,-2.3,0.0,18.2,3,0.0,23366.34,38,SKALNIK
2020-01-02,5.8,-5.2,-0.4,0.0,18.4,0,0.0,23992.79,1,SKALNIK
2020-01-03,0.8,-3.1,-1.3,0.3,22.4,71,0.14,1136.89,67,SKALNIK
2020-01-04,2.3,-3.0,-0.3,10.7,24.3,75,6.09,0.0,93,SKALNIK
2020-01-05,-2.9,-10.0,-5.2,1.3,24.8,73,0.91,20408.6,58,SKALNIK
2020-01-06,-1.3,-9.2,-3.9,0.0,11.6,3,0.0,1671.94,87,SKALNIK
2020-01-07,0.5,-4.4,-2.0,0.0,14.5,3,0.0,23191.18,71,SKALNIK
2020-01-08,1.6,-1.2,0.1,0.7,20.7,51,0.0,0.0,99,SKALNIK
2020-01-09,3.9,2.0,3.0,6.1,18.5,55,0.0,0.0,100,SKALNIK
2020-01-10,3.3,1.9,2.7,1.0,18.0,51,0.0,12843.42,87,SKALNIK
2020-01-11,2.3,-1.7,-0.3,0.3,16.3,51,0.0,39.73,99,SKALNIK
2020-01-12,1.0,-2.3,-1.3,0.0,21.5,3,0.0,24521.52,88,SKALNIK
2020-01-13,1.1,-1.7,-0.8,0.0,15.3,3,0.0,882.97,100,SKALNIK
2020-01-14,0.8,-0.9,-0.3,0.0,21.7,3,0.0,19238.79,95,SKALNIK
2020-01-15,4.4,-3.2,0.2,0.0,22.9,3,0.0,18738.36,71,SKALNIK
2020-01-16,7.9,-1.4,3.3,0.0,18.9,3,0.0,24766.18,30,SKALNIK
2020-01-17,2.3,-2.1,0.5,0.0,26.9,3,0.0,23886.21,49,SKALNIK
2020-01-18,1.5,-1.5,-0.2,0.4,18.7,71,0.28,0.0,100,SKALNIK
2020-01-19,-0.7,-1.9,-1.4,0.9,11.3,71,0.63,945.33,100,SKALNIK
2020-01-20,-0.4,-9.7,-3.3,0.2,12.4,71,0.14,23100.48,59,SKALNIK
2020-01-21,3.8,-9.2,-3.3,0.0,9.0,1,0.0,26608.98,18,SKALNIK
2020-01-22,1.3,-5.0,-1.1,0.1,17.0,51,0.0,10318.93,57,SKALNIK
2020-01-23,0.0,-4.9,-2.5,0.0,11.8,3,0.0,25884.08,68,SKALNIK
2020-01-24,0.1,-6.2,-4.1,0.0,12.2,2,0.0,26839.35,33,SKALNIK
2020-01-25,2.2,-7.9,-3.2,0.0,8.9,2,0.0,27384.49,14,SKALNIK
2020-01-26,4.5,-8.0,-2.0,0.0,7.9,3,0.0,24859.4,66,SKALNIK
