time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,1.1,-2.6,-0.8,0.0,18.9,3,0.0,21321.65,50,SKOPIEC
2020-01-02,7.8,-3.5,-0.1,0.0,10.1,1,0.0,23885.5,2,SKOPIEC
2020-01-03,2.2,-5.1,-1.3,0.3,20.1,51,0.0,14924.79,59,SKOPIEC
2020-01-04,3.1,-1.9,0.5,6.1,32.2,73,1.12,631.45,91,SKOPIEC
2020-01-05,-1.2,-5.4,-3.0,2.0,29.7,73,1.4,23252.54,62,SKOPIEC
2020-01-06,1.3,-9.1,-2.6,0.3,9.4,71,0.14,10413.42,77,SKOPIEC
2020-01-07,1.1,-4.8,-1.7,0.0,19.6,3,0.0,22769.04,53,SKOPIEC
2020-01-08,3.4,-2.7,1.0,0.8,16.1,53,0.0,0.0,91,SKOPIEC
2020-01-09,6.1,1.6,3.8,5.4,19.7,53,0.0,0.0,100,SKOPIEC
2020-01-10,6.6,3.9,5.1,0.4,19.4,51,0.0,18029.42,70,SKOPIEC
2020-01-11,4.0,-3.1,0.6,0.4,27.0,51,0.0,1736.29,94,SKOPIEC
2020-01-12,4.0,-4.5,-0.9,0.0,24.4,3,0.0,23587.09,82,SKOPIEC
2020-01-13,3.6,-1.4,0.7,0.0,14.9,3,0.0,14079.3,74,SKOPIEC
2020-01-14,3.5,-1.1,0.9,0.0,23.8,3,0.0,23784.65,80,SKOPIEC
2020-01-15,6.2,-1.4,2.4,0.0,27.1,3,0.0,19795.5,62,SKOPIEC
2020-01-16,7.7,-1.0,3.1,0.0,13.5,3,0.0,24808.4,29,SKOPIEC
2020-01-17,3.9,-1.2,1.1,0.0,28.1,3,0.0,25805.38,35,SKOPIEC
2020-01-18,2.9,-1.3,0.9,0.5,18.3,51,0.0,1824.77,98,SKOPIEC
2020-01-19,0.0,-1.6,-1.0,1.2,14.4,73,0.35,0.0,100,SKOPIEC
2020-01-20,-0.1,-4.5,-1.8,0.0,14.3,3,0.0,23511.94,71,SKOPIEC
2020-01-21,3.9,-6.7,-3.0,0.0,10.1,2,0.0,26521.83,11,SKOPIEC
2020-01-22,-0.3,-2.9,-1.4,0.2,24.8,51,0.0,5679.38,59,SKOPIEC
2020-01-23,-0.6,-6.7,-2.7,0.0,11.6,3,0.0,7391.59,74,SKOPIEC
