time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-4.2,-13.1,-6.3,0.2,15.1,71,0.14,3091.21,69,SKRZYCZNE
2020-01-02,-2.3,-14.5,-9.2,0.0,13.8,3,0.0,24815.91,30,SKRZYCZNE
2020-01-03,-4.2,-7.3,-5.9,0.0,21.3,3,0.0,24814.65,28,SKRZYCZNE
2020-01-04,-1.9,-7.2,-4.4,6.6,21.0,75,4.06,18262.4,95,SKRZYCZNE
2020-01-05,-5.8,-9.8,-7.6,6.4,22.7,75,4.55,15383.0,83,SKRZYCZNE
2020-01-06,-6.2,-12.8,-9.2,0.0,11.1,3,0.0,2904.53,86,SKRZYCZNE
2020-01-07,-6.6,-13.2,-9.9,0.0,16.9,3,0.0,25284.73,18,SKRZYCZNE
2020-01-08,-4.3,-8.8,-6.3,1.9,20.6,53,0.0,23402.79,95,SKRZYCZNE
2020-01-09,-2.6,-4.9,-3.8,6.3,22.8,55,0.0,4914.67,97,SKRZYCZNE
2020-01-10,-3.5,-6.5,-5.3,0.0,22.4,3,0.0,25631.0,58,SKRZYCZNE
2020-01-11,-2.9,-5.8,-4.0,2.2,14.3,73,1.05,0.0,98,SKRZYCZNE
2020-01-12,-3.5,-6.1,-4.7,0.2,27.3,71,0.14,24883.53,83,SKRZYCZNE
2020-01-13,-4.1,-6.3,-5.3,0.0,26.2,3,0.0,7248.21,96,SKRZYCZNE
2020-01-14,-4.9,-7.4,-6.2,0.0,21.5,3,0.0,16210.02,99,SKRZYCZNE
2020-01-15,-1.2,-8.3,-5.1,0.0,28.2,3,0.0,26302.48,53,SKRZYCZNE
2020-01-16,-0.3,-6.8,-3.5,0.0,25.6,3,0.0,10074.48,65,SKRZYCZNE
2020-01-17,0.7,-11.3,-5.1,0.0,24.3,3,0.0,19472.9,59,SKRZYCZNE
2020-01-18,-2.8,-6.9,-4.9,1.4,24.3,73,0.98,9346.67,92,SKRZYCZNE
2020-01-19,-4.2,-5.1,-4.6,8.5,14.4,73,6.02,0.0,100,SKRZYCZNE
2020-01-20,-4.1,-7.2,-4.8,1.6,10.6,73,1.12,0.0,97,SKRZYCZNE
2020-01-21,-3.8,-9.9,-7.3,0.0,13.6,3,0.0,27280.65,52,SKRZYCZNE
2020-01-22,-3.7,-10.0,-7.3,0.5,17.0,71,0.35,15166.07,86,SKRZYCZNE
2020-01-23,-4.7,-11.5,-7.1,0.0,12.3,3,0.0,10229.21,70,SKRZYCZNE
2020-01-24,-4.0,-9.2,-7.3,0.0,21.7,3,0.0,27826.46,39,SKRZYCZNE
2020-01-25,-3.2,-11.5,-8.0,0.0,14.7,3,0.0,28014.72,54,SKRZYCZNE
2020-01-26,-4.2,-10.2,-7.9,0.1,14.2,71,0.07,26178.61,85,SKRZYCZNE
2020-01-27,-1.8,-8.0,-6.1,0.3,14.6,71,0.21,23372.82,65,SKRZYCZNE
2020-01-28,-2.8,-6.4,-4.5,0.9,24.1,73,0.7,8291.07,99,SKRZYCZNE
2020-01-29,-2.8,-7.7,-5.4,0.5,20.7,73,0.35,28630.76,65,SKRZYCZNE
2020-01-30,-1.8,-8.4,-4.2,1.2,20.6,71,0.77,18269.73,85,SKRZYCZNE
2020-01-31,3.8,-4.7,-0.7,3.9,26.4,73,0.35,14400.0,95,SKRZYCZNE
2020-02-01,4.8,-0.5,1.4,0.1,25.1,51,0.0,26862.45,85,SKRZYCZNE
2020-02-02,1.9,0.2,1.0,12.0,22.0,61,0.0,19974.01,91,SKRZYCZNE
2020-02-03,2.4,-1.1,0.2,17.7,20.1,73,0.49,7746.48,96,SKRZYCZNE
2020-02-04,-0.7,-5.4,-3.1,26.4,30.0,75,16.03,0.0,100,SKRZYCZNE
2020-02-05,-5.2,-10.4,-6.9,4.5,27.1,75,3.15,15690.28,75,SKRZYCZNE
2020-02-06,-5.0,-12.4,-7.7,3.5,15.8,73,2.45,0.0,86,SKRZYCZNE
2020-02-07,-3.6,-10.6,-5.6,10.0,14.0,73,7.0,629.84,76,SKRZYCZNE
2020-02-08,-4.3,-17.5,-9.6,0.0,16.3,3,0.0,30435.59,21,SKRZYCZNE
2020-02-09,-1.5,-7.8,-5.2,0.0,27.2,3,0.0,30409.55,27,SKRZYCZNE
2020-02-10,1.2,-4.2,-1.7,2.4,35.5,73,0.56,21074.62,68,SKRZYCZNE
2020-02-11,-2.5,-5.6,-3.8,6.1,32.8,75,4.13,22897.02,67,SKRZYCZNE
2020-02-12,-3.8,-6.9,-5.3,1.1,21.3,73,0.77,20922.58,59,SKRZYCZNE
2020-02-13,-1.9,-10.6,-5.9,0.1,23.9,71,0.07,30474.77,43,SKRZYCZNE
2020-02-14,-1.0,-3.1,-2.2,4.4,24.4,73,1.26,0.0,99,SKRZYCZNE
2020-02-15,0.0,-4.8,-2.8,0.4,19.5,51,0.0,21902.19,92,SKRZYCZNE
2020-02-16,2.8,-3.6,-0.7,0.0,30.6,3,0.0,32105.63,80,SKRZYCZNE
2020-02-17,6.2,-1.1,1.7,0.0,30.2,3,0.0,24388.22,85,SKRZYCZNE
2020-02-18,2.5,-4.6,-0.1,2.5,22.7,73,0.21,31913.86,57,SKRZYCZNE
2020-02-19,1.3,-6.2,-3.0,4.2,23.8,75,2.1,27574.53,56,SKRZYCZNE
2020-02-20,-1.8,-6.7,-4.3,3.3,12.2,73,2.31,11572.5,70,SKRZYCZNE
2020-02-21,-2.8,-5.6,-4.0,12.0,23.3,75,8.26,8741.64,76,SKRZYCZNE
2020-02-22,-1.1,-11.5,-4.7,0.0,26.1,3,0.0,25462.01,73,SKRZYCZNE
2020-02-23,4.5,-2.1,0.9,9.6,27.8,61,0.0,0.0,99,SKRZYCZNE
2020-02-24,4.2,-5.1,-2.2,7.5,35.4,73,2.1,7031.21,80,SKRZYCZNE
2020-02-25,2.7,-2.5,0.5,6.1,25.5,73,0.28,0.0,96,SKRZYCZNE
2020-02-26,1.2,-6.0,-1.1,2.6,17.1,73,0.77,3555.02,94,SKRZYCZNE
2020-02-27,-1.4,-6.2,-4.5,3.1,16.2,75,2.17,28420.0,71,SKRZYCZNE
2020-02-28,-3.8,-7.1,-5.4,6.4,18.7,73,4.48,16371.51,88,SKRZYCZNE
2020-02-29,-1.2,-12.7,-5.0,0.5,29.4,71,0.35,21600.0,81,SKRZYCZNE
2020-03-01,0.5,-2.5,-1.1,0.2,25.0,71,0.07,17720.98,89,SKRZYCZNE
2020-03-02,2.3,-1.9,0.2,4.3,23.1,61,0.0,18938.73,84,SKRZYCZNE
2020-03-03,6.3,-1.0,3.0,0.9,21.3,51,0.0,11813.1,97,SKRZYCZNE
2020-03-04,-0.5,-6.4,-2.5,0.8,14.5,71,0.49,441.86,87,SKRZYCZNE
2020-03-05,2.3,-7.5,-3.2,0.0,21.0,3,0.0,36168.33,11,SKRZYCZNE
2020-03-06,1.3,-2.9,-1.5,1.0,25.6,71,0.28,12245.77,92,SKRZYCZNE
2020-03-07,0.5,-3.5,-1.8,2.6,16.6,73,1.05,14915.01,86,SKRZYCZNE
2020-03-08,-0.7,-5.7,-2.8,3.1,12.8,73,2.1,9134.06,91,SKRZYCZNE
2020-03-09,3.4,-7.7,-3.0,0.0,14.2,3,0.0,36879.04,24,SKRZYCZNE
2020-03-10,4.7,-6.1,-0.5,0.0,18.9,3,0.0,35208.23,77,SKRZYCZNE
2020-03-11,4.2,-0.5,1.6,13.9,22.9,63,0.0,6745.61,97,SKRZYCZNE
2020-03-12,10.4,1.2,5.4,2.5,29.9,55,0.0,34116.68,73,SKRZYCZNE
2020-03-13,3.7,-1.9,1.3,2.0,24.3,53,0.0,24130.11,55,SKRZYCZNE
2020-03-14,-1.9,-8.1,-3.7,0.5,17.2,71,0.35,29675.98,47,SKRZYCZNE
2020-03-15,2.6,-10.2,-4.3,0.0,13.0,3,0.0,38780.35,15,SKRZYCZNE
2020-03-16,3.8,-4.8,-1.0,0.0,33.7,3,0.0,38547.95,64,SKRZYCZNE
2020-03-17,8.5,-4.3,2.2,0.0,13.2,3,0.0,39007.61,11,SKRZYCZNE
2020-03-18,10.6,-2.9,3.7,0.0,8.9,3,0.0,39275.09,28,SKRZYCZNE
2020-03-19,11.5,-0.8,4.7,0.0,12.1,3,0.0,38853.76,47,SKRZYCZNE
2020-03-20,7.7,1.7,4.6,0.8,9.3,51,0.0,34805.81,64,SKRZYCZNE
2020-03-21,2.5,-6.6,-2.7,12.1,19.6,75,5.95,0.0,88,SKRZYCZNE
