time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,1.9,-3.5,-0.9,0.0,18.4,2,0.0,22960.09,29,SLEZA
2020-01-02,5.9,-3.9,0.1,0.0,24.2,1,0.0,23939.28,3,SLEZA
2020-01-03,1.2,-3.2,-1.1,0.0,30.9,3,0.0,16204.68,44,SLEZA
2020-01-04,3.3,-1.4,0.9,3.1,35.7,71,0.14,1478.6,86,SLEZA
2020-01-05,-0.6,-4.7,-2.7,0.3,29.8,71,0.21,23864.62,33,SLEZA
2020-01-06,0.7,-5.5,-2.5,0.4,19.1,71,0.21,9973.12,69,SLEZA
2020-01-07,1.7,-3.8,-1.5,0.0,23.2,3,0.0,24168.93,44,SLEZA
2020-01-08,2.0,-1.5,0.3,0.6,32.4,51,0.0,0.0,86,SLEZA
2020-01-09,5.0,1.3,2.9,5.8,33.5,55,0.0,0.0,99,SLEZA
2020-01-10,4.2,2.8,3.4,0.0,32.4,3,0.0,13276.99,57,SLEZA
2020-01-11,3.1,-1.0,1.1,0.1,29.2,51,0.0,0.0,90,SLEZA
2020-01-12,1.9,-1.7,-0.3,0.0,39.5,3,0.0,24282.86,85,SLEZA
2020-01-13,1.7,-1.6,-0.4,0.0,26.5,3,0.0,11344.98,63,SLEZA
2020-01-14,2.1,-1.0,0.2,0.0,36.0,3,0.0,24644.13,66,SLEZA
2020-01-15,4.6,-1.7,1.0,0.0,39.3,3,0.0,25525.89,69,SLEZA
2020-01-16,7.0,-2.6,0.9,0.0,33.7,3,0.0,25310.54,34,SLEZA
2020-01-17,4.9,-1.1,0.8,0.0,32.2,3,0.0,25851.65,30,SLEZA
2020-01-18,1.7,-1.6,-0.5,1.1,31.8,51,0.0,0.0,98,SLEZA
2020-01-19,0.0,-2.0,-1.1,0.8,16.1,51,0.0,0.0,100,SLEZA
2020-01-20,0.4,-4.5,-1.7,0.2,13.4,51,0.0,19470.13,72,SLEZA
2020-01-21,2.3,-4.9,-2.7,0.0,20.1,2,0.0,26565.5,10,SLEZA
2020-01-22,0.3,-4.4,-2.3,0.0,23.1,3,0.0,5848.13,62,SLEZA
2020-01-23,0.4,-4.0,-2.1,0.0,16.3,3,0.0,25864.52,67,SLEZA
2020-01-24,-1.3,-5.7,-4.2,0.0,18.9,3,0.0,24838.56,23,SLEZA
2020-01-25,0.6,-6.7,-4.2,0.0,15.8,2,0.0,27343.73,11,SLEZA
2020-01-26,1.1,-7.1,-3.9,0.0,15.3,3,0.0,24888.62,80,SLEZA
2020-01-27,3.8,-3.8,-0.0,0.1,24.6,51,0.0,21479.75,74,SLEZA
2020-01-28,3.3,-1.5,0.7,2.6,39.3,53,0.0,14078.08,90,SLEZA
2020-01-29,1.9,-2.1,-0.7,0.3,26.2,71,0.07,19992.67,72,SLEZA
2020-01-30,3.2,-1.3,0.7,1.3,28.2,73,0.7,0.0,94,SLEZA
2020-01-31,8.4,1.2,5.4,1.9,40.8,55,0.0,22488.92,96,SLEZA
2020-02-01,10.1,5.1,7.4,1.9,29.3,53,0.0,26665.86,94,SLEZA
2020-02-02,7.1,2.0,4.1,4.1,24.3,53,0.0,11877.05,85,SLEZA
2020-02-03,5.0,2.5,3.6,4.0,23.6,55,0.0,26160.43,88,SLEZA
2020-02-04,3.3,-1.0,0.9,14.1,28.2,73,0.42,10800.0,84,SLEZA
2020-02-05,-1.0,-4.5,-2.0,4.9,32.4,73,2.1,14857.23,79,SLEZA
2020-02-06,0.1,-4.6,-1.6,0.3,25.8,51,0.0,1559.63,89,SLEZA
2020-02-07,1.4,-1.1,0.2,1.6,21.8,51,0.0,0.0,99,SLEZA
2020-02-08,3.1,-4.7,-1.1,0.0,22.7,3,0.0,30114.97,13,SLEZA
2020-02-09,4.9,-2.4,1.2,0.0,45.9,3,0.0,30201.7,36,SLEZA
2020-02-10,7.1,0.8,4.7,6.7,52.3,63,0.0,15814.41,74,SLEZA
2020-02-11,3.1,-0.6,1.0,3.0,38.4,73,0.21,30429.49,55,SLEZA
2020-02-12,1.8,-1.5,-0.3,0.3,31.8,71,0.07,29533.31,26,SLEZA
