time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-3.6,-10.3,-7.5,0.0,15.6,3,0.0,23615.47,33,SNIEZKA
2020-01-02,1.6,-10.1,-4.6,0.0,12.9,0,0.0,24046.04,1,SNIEZKA
2020-01-03,-4.7,-11.8,-7.5,0.7,20.2,73,0.49,582.63,68,SNIEZKA
2020-01-04,-3.0,-7.8,-5.5,13.9,22.3,75,9.31,0.0,95,SNIEZKA
2020-01-05,-7.8,-15.7,-10.2,1.4,21.9,73,0.98,18701.38,65,SNIEZKA
2020-01-06,-6.9,-14.8,-9.5,0.0,11.2,3,0.0,0.0,87,SNIEZKA
2020-01-07,-4.8,-10.3,-7.5,0.0,9.1,3,0.0,23484.38,72,SNIEZKA
2020-01-08,-4.1,-6.6,-5.4,1.5,15.3,53,0.0,0.0,100,SNIEZKA
2020-01-09,-2.2,-3.8,-2.6,7.3,8.7,55,0.0,0.0,100,SNIEZKA
2020-01-10,-2.2,-4.5,-3.1,1.6,13.4,51,0.0,7230.8,94,SNIEZKA
2020-01-11,-3.0,-6.7,-5.3,0.2,14.7,51,0.0,0.0,100,SNIEZKA
2020-01-12,-5.5,-8.0,-7.0,0.0,15.0,3,0.0,24629.98,87,SNIEZKA
2020-01-13,-5.3,-7.7,-6.5,0.0,11.4,3,0.0,0.0,100,SNIEZKA
2020-01-14,-5.7,-7.6,-6.6,0.0,10.5,3,0.0,5486.22,100,SNIEZKA
2020-01-15,-3.4,-9.6,-7.1,0.0,11.4,3,0.0,21031.84,69,SNIEZKA
2020-01-16,0.9,-8.4,-2.5,0.0,9.7,3,0.0,24935.71,33,SNIEZKA
2020-01-17,-3.9,-7.9,-5.7,0.0,23.1,3,0.0,23065.74,59,SNIEZKA
2020-01-18,-4.3,-7.8,-6.2,0.4,11.2,71,0.28,0.0,100,SNIEZKA
2020-01-19,-5.8,-8.9,-6.7,0.4,10.7,71,0.28,2891.18,100,SNIEZKA
2020-01-20,-5.7,-14.0,-8.2,0.3,9.5,71,0.21,22764.54,60,SNIEZKA
2020-01-21,-3.7,-14.5,-9.6,0.0,10.1,3,0.0,26652.28,26,SNIEZKA
2020-01-22,-3.8,-11.1,-6.9,0.0,14.4,3,0.0,11436.62,60,SNIEZKA
2020-01-23,-5.4,-10.4,-7.7,0.0,13.0,3,0.0,26402.9,70,SNIEZKA
2020-01-24,-7.9,-14.4,-10.8,0.0,11.8,3,0.0,21309.88,45,SNIEZKA
2020-01-25,-3.4,-12.3,-8.9,0.0,10.6,2,0.0,27433.93,16,SNIEZKA
2020-01-26,-3.1,-12.9,-8.1,0.1,9.2,51,0.0,23750.79,66,SNIEZKA
2020-01-27,-2.8,-6.3,-4.8,0.2,11.5,71,0.14,16738.71,89,SNIEZKA
2020-01-28,-4.3,-8.2,-6.5,17.9,24.8,75,12.46,0.0,100,SNIEZKA
2020-01-29,-5.9,-9.2,-7.9,0.8,19.6,73,0.56,3855.42,89,SNIEZKA
2020-01-30,-3.9,-7.7,-6.0,3.1,21.3,73,2.03,0.0,97,SNIEZKA
2020-01-31,0.7,-5.4,-1.6,4.0,22.9,71,0.28,14959.14,96,SNIEZKA
2020-02-01,1.5,-1.2,0.2,7.0,20.9,61,0.0,940.42,100,SNIEZKA
2020-02-02,-0.2,-4.0,-2.6,7.5,21.3,73,0.98,0.0,95,SNIEZKA
2020-02-03,-0.7,-4.0,-2.4,10.2,22.5,75,2.94,29.62,99,SNIEZKA
2020-02-04,-3.5,-6.9,-5.3,20.8,22.6,75,13.44,7284.51,98,SNIEZKA
2020-02-05,-6.9,-10.2,-8.6,10.8,33.2,75,7.56,1113.36,91,SNIEZKA
2020-02-06,-6.2,-10.6,-7.8,0.5,18.0,71,0.35,0.0,88,SNIEZKA
2020-02-07,-4.6,-6.3,-5.4,1.6,13.7,71,1.05,0.0,100,SNIEZKA
2020-02-08,-4.7,-8.4,-6.3,0.0,10.6,3,0.0,26655.28,50,SNIEZKA
2020-02-09,-3.8,-9.9,-6.6,0.0,21.2,3,0.0,30439.27,51,SNIEZKA
2020-02-10,1.1,-6.0,-3.2,12.6,32.8,75,3.08,8276.1,96,SNIEZKA
2020-02-11,-5.0,-7.8,-6.4,10.5,29.1,75,7.35,30664.18,77,SNIEZKA
2020-02-12,-6.5,-9.1,-8.0,2.1,21.8,73,1.47,15874.71,77,SNIEZKA
2020-02-13,-5.7,-9.3,-7.6,2.6,18.7,73,1.82,6809.61,94,SNIEZKA
2020-02-14,-3.5,-5.9,-4.8,2.4,17.0,73,1.68,5066.95,98,SNIEZKA
2020-02-15,-3.2,-7.0,-4.6,0.0,14.4,3,0.0,11747.3,83,SNIEZKA
2020-02-16,0.4,-5.1,-2.8,0.4,19.9,51,0.0,18507.27,96,SNIEZKA
2020-02-17,0.6,-2.7,-1.2,1.2,18.8,51,0.0,6941.28,96,SNIEZKA
2020-02-18,-2.9,-6.5,-4.1,0.9,19.5,71,0.21,20479.16,78,SNIEZKA
2020-02-19,-4.6,-7.7,-6.0,6.2,22.1,73,4.34,0.0,87,SNIEZKA
2020-02-20,-4.6,-8.5,-6.0,2.3,19.3,73,1.61,21812.88,84,SNIEZKA
2020-02-21,-4.4,-6.8,-5.5,8.6,26.2,75,6.02,27169.83,81,SNIEZKA
2020-02-22,-0.8,-7.0,-4.1,0.2,24.2,71,0.07,16070.43,88,SNIEZKA
2020-02-23,0.7,-2.4,-1.2,32.0,26.6,73,0.28,0.0,100,SNIEZKA
2020-02-24,-2.5,-6.7,-5.2,4.5,29.2,73,2.31,13678.41,95,SNIEZKA
2020-02-25,-0.2,-5.0,-2.1,16.1,19.9,73,0.56,0.0,100,SNIEZKA
2020-02-26,-3.3,-7.6,-5.6,3.1,21.8,73,2.17,13948.23,97,SNIEZKA
2020-02-27,-5.4,-8.5,-7.3,2.5,16.0,73,1.75,22179.18,89,SNIEZKA
2020-02-28,-6.1,-9.3,-7.8,4.9,18.9,73,3.43,21375.0,77,SNIEZKA
2020-02-29,-4.6,-9.3,-7.0,1.8,24.9,73,1.33,1799.35,97,SNIEZKA
2020-03-01,-1.2,-5.7,-3.4,3.1,20.0,73,0.91,14953.22,91,SNIEZKA
2020-03-02,-1.7,-4.9,-3.7,1.7,20.0,73,0.77,6102.76,89,SNIEZKA
2020-03-03,-2.0,-5.7,-3.3,6.7,16.7,75,3.78,2161.71,97,SNIEZKA
2020-03-04,-3.7,-8.6,-6.1,0.0,12.4,3,0.0,35852.85,43,SNIEZKA
2020-03-05,-2.6,-8.4,-5.4,0.0,20.7,3,0.0,16352.64,88,SNIEZKA
2020-03-06,-2.1,-6.1,-4.2,6.7,19.6,73,3.71,5073.26,97,SNIEZKA
2020-03-07,-4.4,-5.8,-5.1,3.6,18.4,73,2.52,2279.61,99,SNIEZKA
2020-03-08,-2.4,-9.3,-5.2,0.0,13.8,3,0.0,29785.29,57,SNIEZKA
2020-03-09,-2.0,-5.5,-4.2,1.4,8.9,73,0.91,927.06,94,SNIEZKA
2020-03-10,-2.9,-5.4,-4.2,4.8,26.3,73,2.66,2630.49,98,SNIEZKA
2020-03-11,0.7,-3.6,-1.2,14.9,18.5,71,0.14,4472.88,99,SNIEZKA
2020-03-12,3.7,-4.5,-0.0,4.6,26.1,61,0.0,13399.51,93,SNIEZKA
2020-03-13,-2.2,-6.1,-4.2,5.4,22.5,73,3.78,30445.1,71,SNIEZKA
2020-03-14,-4.8,-11.3,-7.2,0.0,16.0,3,0.0,37758.52,47,SNIEZKA
2020-03-15,-2.8,-12.9,-7.7,0.0,19.5,3,0.0,38532.82,30,SNIEZKA
2020-03-16,0.3,-9.6,-4.7,0.0,14.0,3,0.0,38761.9,77,SNIEZKA
2020-03-17,4.1,-3.3,-0.1,0.0,9.7,3,0.0,38688.91,50,SNIEZKA
2020-03-18,4.6,-3.9,0.2,0.0,14.7,3,0.0,39618.96,29,SNIEZKA
2020-03-19,4.6,-2.4,1.6,0.1,8.6,51,0.0,18678.89,68,SNIEZKA
2020-03-20,3.3,-5.0,0.3,3.2,14.8,73,0.42,6460.93,88,SNIEZKA
2020-03-21,-5.3,-9.7,-6.8,6.0,22.3,75,4.2,0.0,90,SNIEZKA
2020-03-22,-9.1,-13.0,-11.0,0.1,18.8,71,0.07,34955.5,56,SNIEZKA
2020-03-23,-8.6,-15.8,-11.8,0.0,16.0,2,0.0,40798.92,12,SNIEZKA
2020-03-24,-6.6,-13.1,-10.3,0.0,16.1,0,0.0,41032.29,0,SNIEZKA
2020-03-25,-5.2,-12.8,-9.1,0.0,15.5,0,0.0,41265.04,0,SNIEZKA
2020-03-26,-0.9,-13.1,-6.2,0.0,13.0,3,0.0,41497.05,41,SNIEZKA
2020-03-27,3.7,-5.9,-1.4,0.0,12.2,3,0.0,39127.86,44,SNIEZKA
2020-03-28,4.6,-3.2,1.2,0.0,11.9,2,0.0,41958.3,11,SNIEZKA
2020-03-29,-3.0,-8.9,-5.2,4.6,25.2,73,3.22,31341.18,77,SNIEZKA
2020-03-30,-7.0,-12.7,-9.8,0.4,21.8,71,0.28,42414.91,47,SNIEZKA
2020-03-31,-7.9,-13.1,-10.1,1.6,16.2,73,1.19,25875.23,72,SNIEZKA
2020-04-01,-4.2,-13.4,-8.7,0.0,11.6,0,0.0,42865.8,1,SNIEZKA
2020-04-02,-0.6,-9.9,-5.2,0.0,11.2,1,0.0,43072.2,4,SNIEZKA
2020-04-03,-2.0,-8.5,-4.9,0.8,18.8,73,0.56,13557.12,66,SNIEZKA
2020-04-04,0.8,-7.0,-2.8,0.0,8.4,3,0.0,16115.74,82,SNIEZKA
2020-04-05,2.6,-6.8,-1.8,0.0,11.3,1,0.0,43207.14,2,SNIEZKA
2020-04-06,6.1,-2.4,1.8,0.0,21.3,0,0.0,43287.68,0,SNIEZKA
2020-04-07,8.4,-4.1,2.3,0.0,13.9,1,0.0,43344.34,2,SNIEZKA
2020-04-08,7.5,-2.1,2.4,0.0,11.9,0,0.0,43528.33,0,SNIEZKA
2020-04-09,9.2,-0.1,4.1,0.0,13.0,3,0.0,43562.64,9,SNIEZKA
2020-04-10,5.9,-5.1,-0.2,0.0,9.7,3,0.0,43393.02,56,SNIEZKA
2020-04-11,6.8,-4.6,1.6,0.0,9.4,3,0.0,42676.04,53,SNIEZKA
2020-04-12,9.3,-2.3,4.9,0.0,14.4,0,0.0,44332.2,2,SNIEZKA
2020-04-13,6.9,-5.9,1.2,1.0,19.8,51,0.0,42662.14,49,SNIEZKA
2020-04-14,-2.9,-8.7,-6.1,1.8,18.5,73,1.26,26535.97,63,SNIEZKA
2020-04-15,5.2,-8.1,-1.7,0.0,17.0,3,0.0,44350.98,54,SNIEZKA
2020-04-16,9.3,-2.6,3.2,0.0,13.2,3,0.0,45455.81,42,SNIEZKA
2020-04-17,7.9,-2.8,2.7,0.0,13.2,3,0.0,44465.04,40,SNIEZKA
2020-04-18,8.8,-3.4,3.8,0.0,9.8,3,0.0,45608.66,46,SNIEZKA
2020-04-19,3.2,-3.4,-0.1,0.0,16.3,3,0.0,34526.39,57,SNIEZKA
2020-04-20,2.8,-5.5,-1.2,0.0,17.9,0,0.0,46991.53,0,SNIEZKA
2020-04-21,4.7,-4.0,0.3,0.0,18.3,0,0.0,47196.02,0,SNIEZKA
2020-04-22,5.9,-2.3,1.9,0.0,17.9,1,0.0,47398.17,3,SNIEZKA
2020-04-23,9.0,-3.7,3.8,0.0,13.2,0,0.0,47598.04,0,SNIEZKA
2020-04-24,9.4,-1.5,5.4,0.0,17.7,3,0.0,46449.58,75,SNIEZKA
2020-04-25,2.8,-2.5,-0.3,0.8,20.6,51,0.0,9855.21,66,SNIEZKA
2020-04-26,4.0,-3.0,1.0,0.7,11.4,51,0.0,22169.53,72,SNIEZKA
2020-04-27,8.8,-1.8,4.6,0.0,13.9,1,0.0,48389.15,13,SNIEZKA
2020-04-28,11.1,4.7,8.3,0.0,14.3,3,0.0,48164.0,57,SNIEZKA
2020-04-29,8.1,1.3,4.0,10.8,10.6,61,0.0,2408.1,92,SNIEZKA
2020-04-30,8.1,-1.4,4.0,0.4,17.1,51,0.0,42786.79,67,SNIEZKA
2020-05-01,6.6,0.1,3.3,9.2,16.1,61,0.0,35073.09,71,SNIEZKA
2020-05-02,4.7,-2.4,0.8,6.4,14.5,61,0.0,37089.96,78,SNIEZKA
2020-05-03,3.2,-2.7,0.2,4.7,19.1,73,0.21,40588.32,68,SNIEZKA
2020-05-04,5.3,-3.4,2.1,7.6,14.3,61,0.0,39587.47,78,SNIEZKA
2020-05-05,1.8,-4.2,-1.3,4.4,18.4,71,0.42,43635.89,63,SNIEZKA
2020-05-06,2.8,-4.6,-1.4,1.1,21.5,73,0.42,3485.59,88,SNIEZKA
2020-05-07,4.7,-2.8,0.3,0.0,16.0,3,0.0,49991.54,37,SNIEZKA
2020-05-08,10.4,-1.0,5.4,0.0,11.4,3,0.0,42946.82,89,SNIEZKA
2020-05-09,11.7,2.1,8.0,0.4,8.9,51,0.0,40761.46,74,SNIEZKA
2020-05-10,12.8,3.0,7.8,3.7,14.2,53,0.0,28165.64,97,SNIEZKA
