time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-0.6,-4.4,-2.5,0.0,14.4,3,0.0,23994.48,30,SZCZELINIEC
2020-01-02,3.8,-4.1,-1.5,0.0,13.7,2,0.0,24204.31,9,SZCZELINIEC
2020-01-03,0.0,-4.6,-2.1,0.3,27.2,51,0.0,12712.99,54,SZCZELINIEC
2020-01-04,1.2,-2.5,-0.8,5.5,28.7,73,2.59,0.0,90,SZCZELINIEC
2020-01-05,-1.6,-6.8,-3.8,0.0,25.7,3,0.0,24481.13,46,SZCZELINIEC
2020-01-06,-1.9,-7.7,-4.0,0.2,14.3,71,0.14,17583.83,80,SZCZELINIEC
2020-01-07,-1.6,-5.3,-3.5,0.0,16.7,3,0.0,24695.63,48,SZCZELINIEC
2020-01-08,0.1,-2.4,-1.1,2.3,24.8,61,0.0,4130.23,99,SZCZELINIEC
2020-01-09,3.2,-0.4,1.6,6.8,19.7,61,0.0,0.0,99,SZCZELINIEC
2020-01-10,3.5,1.0,2.0,0.0,21.1,3,0.0,22232.87,39,SZCZELINIEC
2020-01-11,1.7,-1.5,-0.1,0.1,21.3,51,0.0,276.9,93,SZCZELINIEC
2020-01-12,1.1,-3.2,-1.5,0.0,25.9,3,0.0,24673.54,84,SZCZELINIEC
2020-01-13,-0.2,-3.2,-2.0,0.0,23.0,3,0.0,1471.98,85,SZCZELINIEC
2020-01-14,0.6,-2.6,-1.5,0.0,15.8,3,0.0,22978.9,71,SZCZELINIEC
2020-01-15,3.1,-3.3,-1.0,0.0,19.1,3,0.0,25760.24,70,SZCZELINIEC
2020-01-16,2.7,-4.5,-1.7,0.0,18.4,3,0.0,25029.08,33,SZCZELINIEC
2020-01-17,2.9,-3.2,-0.4,0.0,21.3,3,0.0,25595.43,36,SZCZELINIEC
2020-01-18,-0.8,-3.6,-2.1,1.5,20.2,73,0.98,0.0,98,SZCZELINIEC
2020-01-19,-0.2,-3.4,-2.1,0.9,12.6,71,0.49,382.39,100,SZCZELINIEC
2020-01-20,-0.7,-6.8,-2.5,0.6,10.6,71,0.42,1813.31,78,SZCZELINIEC
2020-01-21,-1.6,-6.0,-4.6,0.0,16.4,3,0.0,26781.09,39,SZCZELINIEC
2020-01-22,-1.8,-6.6,-5.1,0.0,20.3,3,0.0,8437.55,90,SZCZELINIEC
2020-01-23,-1.6,-5.1,-3.2,0.0,12.3,3,0.0,25829.69,88,SZCZELINIEC
2020-01-24,-3.7,-6.4,-5.5,0.0,18.5,3,0.0,5862.86,67,SZCZELINIEC
2020-01-25,-1.6,-6.6,-5.1,0.0,14.1,3,0.0,26784.84,58,SZCZELINIEC
2020-01-26,-1.6,-6.4,-4.7,0.0,13.7,3,0.0,20544.9,92,SZCZELINIEC
2020-01-27,0.5,-4.0,-1.8,0.2,17.6,51,0.0,24978.28,90,SZCZELINIEC
2020-01-28,1.0,-3.3,-1.2,3.7,29.1,73,2.03,12489.2,96,SZCZELINIEC
2020-01-29,0.0,-4.1,-2.4,0.2,27.5,71,0.07,20853.5,77,SZCZELINIEC
2020-01-30,1.8,-3.4,-1.0,0.7,29.8,71,0.49,1119.57,96,SZCZELINIEC
2020-01-31,7.0,-0.5,3.8,1.9,32.0,53,0.0,19114.48,93,SZCZELINIEC
2020-02-01,8.5,3.1,6.0,3.2,29.3,53,0.0,17053.58,98,SZCZELINIEC
2020-02-02,5.8,1.4,3.2,4.5,24.5,53,0.0,3112.08,89,SZCZELINIEC
2020-02-03,5.1,2.0,3.2,5.6,28.1,55,0.0,24208.6,92,SZCZELINIEC
2020-02-04,2.1,-1.9,-0.0,16.0,24.1,75,5.39,11019.01,88,SZCZELINIEC
2020-02-05,-1.2,-7.6,-3.1,5.4,27.7,73,3.64,20471.81,81,SZCZELINIEC
2020-02-06,-0.9,-7.6,-4.0,0.5,17.3,71,0.35,5880.91,81,SZCZELINIEC
2020-02-07,0.6,-1.7,-0.7,1.5,11.7,71,0.42,0.0,100,SZCZELINIEC
2020-02-08,1.9,-3.5,-1.7,0.0,15.1,2,0.0,30230.45,17,SZCZELINIEC
2020-02-09,3.8,-4.1,-0.5,0.0,32.1,3,0.0,30310.11,32,SZCZELINIEC
2020-02-10,5.2,-1.5,2.4,14.8,41.6,71,0.21,12639.24,83,SZCZELINIEC
2020-02-11,1.7,-2.4,-0.5,4.3,38.7,73,1.89,28194.75,63,SZCZELINIEC
2020-02-12,0.3,-3.6,-2.3,1.2,28.7,73,0.91,21303.95,59,SZCZELINIEC
2020-02-13,0.1,-4.1,-1.9,0.9,21.9,71,0.14,22319.0,86,SZCZELINIEC
2020-02-14,3.3,-1.1,0.7,0.7,21.2,51,0.0,15775.67,92,SZCZELINIEC
2020-02-15,3.5,-3.6,0.6,0.0,17.5,3,0.0,23677.08,82,SZCZELINIEC
2020-02-16,7.5,0.8,4.1,0.0,34.8,3,0.0,22858.76,90,SZCZELINIEC
2020-02-17,8.2,3.3,5.5,1.9,30.4,51,0.0,11358.7,90,SZCZELINIEC
2020-02-18,3.5,-1.0,1.8,1.0,24.2,51,0.0,27288.15,61,SZCZELINIEC
2020-02-19,2.5,-2.5,-0.5,3.1,28.8,71,0.21,14122.82,70,SZCZELINIEC
2020-02-20,2.3,-3.7,-0.4,2.3,20.3,75,1.61,23530.2,70,SZCZELINIEC
2020-02-21,2.4,-3.2,0.3,4.6,26.0,73,1.19,28073.19,54,SZCZELINIEC
2020-02-22,5.9,-3.3,1.8,0.1,31.8,51,0.0,16119.55,83,SZCZELINIEC
2020-02-23,6.5,4.0,4.9,14.5,37.3,61,0.0,0.0,99,SZCZELINIEC
2020-02-24,4.2,-1.4,1.0,2.9,30.9,61,0.0,28547.86,79,SZCZELINIEC
2020-02-25,5.4,1.7,3.8,7.0,24.3,55,0.0,64.65,100,SZCZELINIEC
2020-02-26,2.3,-3.1,0.2,2.9,26.6,73,1.19,19888.92,84,SZCZELINIEC
2020-02-27,1.2,-3.6,-1.9,0.6,24.0,71,0.35,31795.43,84,SZCZELINIEC
2020-02-28,0.5,-3.8,-1.8,2.1,21.6,73,1.4,32422.44,67,SZCZELINIEC
2020-02-29,1.9,-4.4,-0.7,0.3,26.1,71,0.14,6142.81,97,SZCZELINIEC
2020-03-01,5.9,0.4,2.8,1.5,23.7,53,0.0,33179.34,57,SZCZELINIEC
2020-03-02,4.0,-0.6,1.9,1.7,28.8,53,0.0,13222.08,84,SZCZELINIEC
2020-03-03,5.7,-1.0,2.2,3.2,22.4,53,0.0,5986.05,99,SZCZELINIEC
2020-03-04,3.2,-2.9,-0.4,0.3,16.9,71,0.07,35844.03,41,SZCZELINIEC
2020-03-05,4.4,-4.0,0.2,0.0,18.1,3,0.0,27695.79,52,SZCZELINIEC
2020-03-06,4.3,0.0,2.0,3.3,20.6,71,0.49,8114.32,93,SZCZELINIEC
2020-03-07,1.9,-0.8,0.5,1.6,21.6,51,0.0,11945.31,96,SZCZELINIEC
2020-03-08,3.3,-4.0,0.0,0.0,14.2,3,0.0,29689.43,52,SZCZELINIEC
2020-03-09,5.1,-0.1,2.1,0.5,15.0,51,0.0,5600.27,97,SZCZELINIEC
