time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-2.2,-7.7,-4.0,0.1,19.4,71,0.07,2332.99,77,TARNICA
2020-01-02,-3.2,-11.4,-8.1,0.0,12.0,3,0.0,24993.37,66,TARNICA
2020-01-03,-5.5,-9.4,-7.7,0.0,14.5,3,0.0,25004.0,80,TARNICA
2020-01-04,-6.8,-9.2,-7.9,2.4,12.3,73,1.61,0.0,100,TARNICA
2020-01-05,-5.2,-8.1,-6.3,6.5,22.4,73,4.55,5843.74,95,TARNICA
2020-01-06,-5.0,-10.6,-7.8,0.0,14.5,3,0.0,19100.22,76,TARNICA
2020-01-07,-6.1,-11.2,-8.9,0.0,15.9,3,0.0,25373.22,63,TARNICA
2020-01-08,-5.8,-9.4,-8.0,0.0,16.3,3,0.0,20322.22,95,TARNICA
2020-01-09,-6.8,-8.8,-7.6,4.3,16.1,71,0.56,0.0,100,TARNICA
2020-01-10,-2.6,-7.2,-5.0,0.1,15.9,51,0.0,23191.76,84,TARNICA
2020-01-11,-1.2,-5.6,-2.9,0.9,15.2,71,0.63,0.0,90,TARNICA
2020-01-12,-2.1,-3.9,-3.1,0.0,23.4,3,0.0,10800.0,98,TARNICA
2020-01-13,-3.9,-5.7,-5.2,0.0,22.6,3,0.0,0.0,100,TARNICA
2020-01-14,-4.4,-5.4,-5.0,0.1,21.9,71,0.07,0.0,100,TARNICA
2020-01-15,-2.8,-5.0,-3.9,0.0,19.9,3,0.0,0.0,100,TARNICA
2020-01-16,-0.6,-4.1,-2.4,0.0,22.2,3,0.0,26037.72,86,TARNICA
2020-01-17,2.9,-2.6,-0.7,0.0,18.4,3,0.0,26656.98,67,TARNICA
2020-01-18,0.1,-3.6,-2.4,0.0,18.0,3,0.0,20923.32,69,TARNICA
2020-01-19,-0.8,-11.4,-5.0,0.0,12.8,3,0.0,24404.11,42,TARNICA
2020-01-20,-3.4,-6.7,-4.7,0.0,17.9,3,0.0,853.42,100,TARNICA
2020-01-21,-3.6,-6.2,-5.0,0.0,15.2,3,0.0,3111.5,100,TARNICA
2020-01-22,-4.1,-8.5,-7.3,1.8,20.8,73,1.26,0.0,100,TARNICA
2020-01-23,-3.1,-8.2,-4.8,0.1,17.1,71,0.07,12126.45,75,TARNICA
2020-01-24,-4.3,-6.4,-5.7,0.0,22.3,3,0.0,5472.86,97,TARNICA
