time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,0.7,-3.6,-0.7,0.2,17.8,71,0.14,1455.14,73,TURBACZ
2020-01-02,6.6,-5.3,-0.1,0.0,10.4,3,0.0,24311.91,34,TURBACZ
2020-01-03,5.8,-0.2,2.4,0.0,19.4,3,0.0,24845.9,23,TURBACZ
2020-01-04,1.7,-0.2,0.7,3.4,25.5,73,2.1,5388.26,92,TURBACZ
2020-01-05,-1.4,-4.4,-2.9,6.4,27.0,73,4.41,2212.47,82,TURBACZ
2020-01-06,0.3,-12.2,-4.3,0.0,11.1,3,0.0,3658.75,85,TURBACZ
2020-01-07,1.8,-3.9,-2.1,0.0,15.8,3,0.0,25332.43,20,TURBACZ
2020-01-08,2.3,-2.3,-0.4,0.2,18.0,51,0.0,20133.9,77,TURBACZ
2020-01-09,4.5,0.4,2.4,7.8,20.2,61,0.0,7200.0,98,TURBACZ
2020-01-10,6.7,-0.0,2.7,0.0,20.7,3,0.0,24072.84,69,TURBACZ
2020-01-11,2.1,0.2,1.0,1.9,14.5,71,0.77,0.0,92,TURBACZ
2020-01-12,4.2,-0.7,0.9,0.2,27.3,71,0.14,25931.15,71,TURBACZ
2020-01-13,3.8,-0.8,1.1,0.0,25.9,3,0.0,18361.21,93,TURBACZ
2020-01-14,4.1,-0.9,0.7,0.0,19.1,3,0.0,24535.93,49,TURBACZ
2020-01-15,7.7,-0.7,2.5,0.0,22.5,3,0.0,26346.44,42,TURBACZ
2020-01-16,6.1,-0.9,2.3,0.0,24.2,3,0.0,15330.87,72,TURBACZ
2020-01-17,4.8,-3.5,0.3,0.0,18.4,3,0.0,20424.53,68,TURBACZ
2020-01-18,4.4,-0.9,1.2,0.0,18.1,3,0.0,23390.38,73,TURBACZ
2020-01-19,0.7,-0.4,-0.0,6.8,14.8,73,4.62,0.0,100,TURBACZ
2020-01-20,1.1,-0.8,0.0,0.6,11.0,71,0.42,573.6,98,TURBACZ
2020-01-21,5.2,-3.5,-0.1,0.0,11.5,3,0.0,27321.2,36,TURBACZ
2020-01-22,4.4,-2.3,-0.5,0.9,18.4,73,0.63,14230.43,62,TURBACZ
2020-01-23,1.2,-4.1,-1.5,0.1,17.4,71,0.07,19631.78,63,TURBACZ
2020-01-24,5.5,-2.9,-0.1,0.0,20.4,1,0.0,27866.86,12,TURBACZ
2020-01-25,5.5,-4.6,-1.0,0.0,14.5,2,0.0,27996.52,21,TURBACZ
2020-01-26,5.0,-6.2,-1.6,0.0,9.4,3,0.0,28102.3,75,TURBACZ
2020-01-27,5.7,-2.5,0.2,0.0,11.2,2,0.0,28245.3,26,TURBACZ
2020-01-28,4.9,-1.4,1.3,1.6,21.4,73,1.12,9859.08,95,TURBACZ
2020-01-29,2.3,-1.4,0.1,0.1,23.4,71,0.07,28480.81,82,TURBACZ
2020-01-30,3.1,-1.5,0.8,1.2,20.3,71,0.77,17047.06,88,TURBACZ
2020-01-31,7.0,1.1,4.1,4.5,26.0,73,0.35,4952.6,97,TURBACZ
2020-02-01,9.9,3.2,6.6,0.0,26.2,3,0.0,14306.79,84,TURBACZ
2020-02-02,7.2,4.2,5.8,8.3,22.1,61,0.0,17492.25,89,TURBACZ
2020-02-03,6.8,3.1,4.5,10.2,21.3,71,0.14,234.04,88,TURBACZ
2020-02-04,4.1,-0.7,1.8,28.1,30.2,75,17.71,0.0,100,TURBACZ
2020-02-05,-0.4,-7.8,-2.7,8.5,26.9,75,5.95,9342.85,74,TURBACZ
2020-02-06,-0.5,-6.6,-3.0,3.6,18.5,73,2.52,0.0,90,TURBACZ
2020-02-07,0.6,-8.3,-1.7,9.8,19.1,73,6.86,1247.35,78,TURBACZ
2020-02-08,3.5,-15.2,-4.6,0.0,10.5,3,0.0,30624.22,13,TURBACZ
2020-02-09,5.7,-2.9,0.7,0.0,21.4,3,0.0,30934.89,17,TURBACZ
2020-02-10,6.2,1.3,3.7,1.9,27.8,71,0.14,18000.0,79,TURBACZ
2020-02-11,2.3,-1.5,0.9,5.0,26.7,75,3.57,21707.84,54,TURBACZ
2020-02-12,1.5,-2.5,-0.8,1.0,22.2,73,0.7,28559.83,45,TURBACZ
2020-02-13,3.3,-3.4,-0.5,0.0,18.0,3,0.0,30703.76,40,TURBACZ
2020-02-14,3.3,1.4,2.4,1.7,21.5,71,0.28,458.36,99,TURBACZ
2020-02-15,5.7,-0.6,1.4,0.5,15.0,71,0.14,29937.39,76,TURBACZ
2020-02-16,9.3,0.3,4.7,0.0,27.2,3,0.0,28624.2,81,TURBACZ
2020-02-17,13.6,4.8,7.8,0.0,23.1,3,0.0,25864.76,81,TURBACZ
2020-02-18,7.2,-0.5,4.6,2.6,19.5,53,0.0,33127.79,52,TURBACZ
2020-02-19,6.4,-0.7,2.2,1.6,22.5,73,0.84,31993.51,57,TURBACZ
2020-02-20,2.6,-1.9,0.5,1.9,15.5,73,1.33,12906.06,76,TURBACZ
2020-02-21,2.4,-2.1,0.5,7.0,22.2,75,4.76,5730.23,67,TURBACZ
2020-02-22,5.6,-2.8,1.6,0.5,27.5,71,0.07,30229.14,69,TURBACZ
2020-02-23,7.5,4.2,5.7,13.9,26.8,63,0.0,543.11,98,TURBACZ
2020-02-24,8.6,-0.4,2.2,7.5,33.9,73,2.38,396.87,82,TURBACZ
2020-02-25,9.2,2.2,6.0,2.0,26.1,71,0.21,0.0,98,TURBACZ
2020-02-26,6.0,-1.4,3.8,1.8,15.5,51,0.0,0.0,96,TURBACZ
2020-02-27,3.8,-2.3,0.2,1.2,17.5,73,0.84,29190.42,71,TURBACZ
2020-02-28,2.1,-2.2,-0.6,6.2,20.7,73,4.34,12847.48,90,TURBACZ
2020-02-29,5.0,-3.0,1.4,0.1,30.6,71,0.07,21489.46,85,TURBACZ
2020-03-01,6.4,2.9,4.5,0.8,28.8,71,0.07,2669.03,97,TURBACZ
2020-03-02,7.2,2.5,4.6,1.5,24.2,51,0.0,14980.6,73,TURBACZ
2020-03-03,11.9,4.2,7.5,0.2,19.1,51,0.0,15511.58,95,TURBACZ
2020-03-04,3.5,-0.9,1.9,3.0,17.4,73,2.1,0.0,95,TURBACZ
2020-03-05,6.9,-3.9,0.8,0.0,11.0,1,0.0,36415.56,3,TURBACZ
2020-03-06,6.6,-1.9,2.7,0.6,22.8,71,0.42,11693.1,79,TURBACZ
2020-03-07,6.5,1.1,3.2,0.5,14.8,71,0.07,22292.32,83,TURBACZ
2020-03-08,4.3,0.4,1.9,1.0,13.5,71,0.7,8797.2,86,TURBACZ
2020-03-09,7.9,-2.8,2.3,0.0,14.5,3,0.0,37373.63,30,TURBACZ
2020-03-10,8.1,-2.4,2.8,0.2,16.8,51,0.0,12539.65,66,TURBACZ
2020-03-11,9.1,3.9,6.7,4.1,24.3,53,0.0,7266.12,94,TURBACZ
2020-03-12,14.6,6.8,10.1,0.9,32.8,51,0.0,32284.2,66,TURBACZ
2020-03-13,8.0,2.2,5.9,1.3,22.5,51,0.0,32852.91,59,TURBACZ
2020-03-14,2.7,-3.2,0.9,0.5,19.7,71,0.35,28874.71,51,TURBACZ
2020-03-15,7.7,-5.5,0.1,0.0,10.0,3,0.0,38735.42,11,TURBACZ
2020-03-16,9.2,-3.1,3.5,0.0,33.7,3,0.0,38639.46,56,TURBACZ
2020-03-17,13.2,0.2,6.4,0.0,14.6,2,0.0,39060.57,6,TURBACZ
2020-03-18,15.2,0.6,7.7,0.0,8.9,3,0.0,39021.17,28,TURBACZ
2020-03-19,16.2,4.0,9.6,0.0,12.2,3,0.0,39060.86,27,TURBACZ
2020-03-20,11.7,4.3,8.2,1.1,10.4,51,0.0,29328.42,54,TURBACZ
2020-03-21,6.4,-1.7,1.8,11.3,21.6,75,6.86,0.0,93,TURBACZ
2020-03-22,-1.2,-6.0,-3.3,3.0,21.8,73,2.1,37454.23,61,TURBACZ
2020-03-23,-1.7,-6.1,-4.2,1.5,23.7,73,1.05,1583.65,84,TURBACZ
2020-03-24,1.5,-6.4,-3.0,0.0,18.6,0,0.0,41066.67,0,TURBACZ
2020-03-25,3.3,-5.6,-1.3,0.0,16.2,3,0.0,39444.64,15,TURBACZ
2020-03-26,11.4,-2.7,3.9,0.0,15.8,3,0.0,39752.09,64,TURBACZ
2020-03-27,15.1,-0.2,6.7,0.0,12.2,2,0.0,41630.72,7,TURBACZ
2020-03-28,12.4,0.3,6.4,0.7,10.7,51,0.0,41722.73,15,TURBACZ
2020-03-29,10.1,0.6,4.8,1.3,20.9,71,0.14,39600.0,59,TURBACZ
2020-03-30,0.6,-4.2,-1.8,4.3,20.3,73,2.94,34705.65,73,TURBACZ
2020-03-31,2.3,-6.2,-2.1,0.7,12.4,73,0.49,42042.17,22,TURBACZ
2020-04-01,6.1,-5.1,-0.3,0.0,9.3,3,0.0,42196.43,19,TURBACZ
2020-04-02,9.0,-3.5,2.2,0.0,14.3,0,0.0,42519.15,0,TURBACZ
2020-04-03,9.3,-0.2,4.1,0.0,18.4,3,0.0,38900.88,35,TURBACZ
2020-04-04,9.6,-0.7,4.1,0.0,13.4,3,0.0,42925.48,23,TURBACZ
2020-04-05,11.7,-0.6,5.4,0.0,12.7,0,0.0,43245.04,0,TURBACZ
2020-04-06,16.1,-0.5,7.9,0.0,12.3,0,0.0,43587.93,0,TURBACZ
2020-04-07,16.8,3.2,9.9,0.0,17.8,0,0.0,44066.93,0,TURBACZ
2020-04-08,18.3,0.7,9.4,0.0,9.8,0,0.0,44311.34,0,TURBACZ
2020-04-09,18.7,4.1,11.0,0.0,15.4,1,0.0,44522.99,3,TURBACZ
2020-04-10,11.9,5.1,8.7,0.0,14.7,3,0.0,44361.8,63,TURBACZ
2020-04-11,13.0,1.2,7.4,0.0,10.6,2,0.0,44944.58,15,TURBACZ
2020-04-12,17.6,0.9,9.7,0.0,16.6,3,0.0,45154.27,13,TURBACZ
2020-04-13,18.4,3.3,10.5,6.6,18.9,61,0.0,33513.83,66,TURBACZ
2020-04-14,5.1,-0.1,2.2,2.2,19.6,73,0.98,39814.95,70,TURBACZ
2020-04-15,9.7,-2.3,4.0,0.0,16.8,3,0.0,36694.58,49,TURBACZ
2020-04-16,18.1,2.6,9.9,0.0,19.0,3,0.0,45758.43,34,TURBACZ
2020-04-17,15.5,4.5,10.0,0.0,15.8,3,0.0,45874.61,73,TURBACZ
