time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,2.1,-3.0,-0.9,0.0,16.9,3,0.0,23064.89,40,WALIGORA
2020-01-02,5.0,-3.8,-0.4,0.0,28.0,1,0.0,24046.04,9,WALIGORA
2020-01-03,1.0,-4.4,-2.0,0.2,30.4,51,0.0,11978.26,64,WALIGORA
2020-01-04,2.3,-1.3,0.7,4.0,33.1,73,2.1,1585.08,89,WALIGORA
2020-01-05,-1.0,-5.3,-2.6,0.8,30.3,73,0.56,23005.25,50,WALIGORA
2020-01-06,-0.1,-6.0,-3.0,0.3,18.4,71,0.21,12964.99,82,WALIGORA
2020-01-07,0.2,-4.6,-2.5,0.0,23.7,3,0.0,24543.3,48,WALIGORA
2020-01-08,0.9,-1.5,-0.3,1.3,29.7,53,0.0,713.08,99,WALIGORA
2020-01-09,3.1,0.4,1.8,6.8,28.2,55,0.0,0.0,100,WALIGORA
2020-01-10,3.2,0.8,2.0,0.1,28.0,51,0.0,16194.48,58,WALIGORA
2020-01-11,2.9,-0.6,0.9,0.2,19.7,51,0.0,955.39,91,WALIGORA
2020-01-12,0.5,-2.5,-1.1,0.0,31.0,3,0.0,24885.48,89,WALIGORA
2020-01-13,0.5,-2.3,-1.0,0.0,26.9,3,0.0,5837.57,92,WALIGORA
2020-01-14,-0.1,-2.5,-1.3,0.0,29.0,3,0.0,21417.38,88,WALIGORA
2020-01-15,2.0,-3.3,-1.6,0.0,34.2,3,0.0,25485.38,75,WALIGORA
2020-01-16,4.6,-4.0,-1.0,0.0,29.2,3,0.0,24961.64,42,WALIGORA
2020-01-17,4.1,-2.5,0.5,0.0,32.6,3,0.0,25943.59,33,WALIGORA
2020-01-18,-0.2,-2.7,-1.8,1.1,25.7,73,0.77,0.0,100,WALIGORA
2020-01-19,0.5,-2.9,-0.9,0.9,14.7,71,0.63,1468.64,100,WALIGORA
2020-01-20,0.7,-4.5,-1.4,0.4,15.8,71,0.28,13655.55,71,WALIGORA
2020-01-21,0.7,-6.8,-3.4,0.0,20.0,3,0.0,26652.28,31,WALIGORA
2020-01-22,1.4,-5.7,-2.7,0.0,22.8,3,0.0,9438.49,92,WALIGORA
2020-01-23,-0.3,-3.6,-1.8,0.0,22.0,3,0.0,25438.78,80,WALIGORA
2020-01-24,-3.1,-6.1,-4.6,0.0,28.5,3,0.0,19686.4,78,WALIGORA
2020-01-25,-0.3,-5.7,-4.3,0.0,17.6,3,0.0,27425.08,58,WALIGORA
2020-01-26,-1.6,-6.1,-4.2,0.0,18.4,3,0.0,18808.61,97,WALIGORA
2020-01-27,1.0,-3.6,-1.1,0.2,26.4,51,0.0,22123.3,96,WALIGORA
2020-01-28,2.3,-1.7,-0.1,4.0,38.4,73,2.17,14400.0,95,WALIGORA
2020-01-29,1.5,-2.7,-1.2,0.2,26.7,51,0.0,22127.97,76,WALIGORA
2020-01-30,2.4,-2.0,0.2,1.2,28.8,73,0.84,0.0,94,WALIGORA
2020-01-31,8.2,-0.2,4.3,1.6,34.4,53,0.0,21671.34,94,WALIGORA
2020-02-01,9.5,4.1,6.8,2.6,30.6,53,0.0,22505.09,98,WALIGORA
2020-02-02,6.4,2.1,3.8,6.2,25.9,73,0.21,5327.69,85,WALIGORA
2020-02-03,5.9,3.0,4.2,3.5,25.1,71,0.07,24424.33,89,WALIGORA
2020-02-04,2.8,-1.0,0.8,17.6,31.0,75,8.26,10800.0,91,WALIGORA
2020-02-05,-0.9,-4.8,-2.3,7.6,35.4,75,5.25,10624.67,82,WALIGORA
2020-02-06,-0.1,-4.9,-2.0,0.6,21.6,71,0.42,7071.82,91,WALIGORA
2020-02-07,0.9,-0.5,0.2,1.7,19.6,71,0.7,0.0,100,WALIGORA
2020-02-08,1.0,-2.4,-0.9,0.0,31.4,3,0.0,30169.35,23,WALIGORA
2020-02-09,3.9,-3.7,-0.3,0.0,40.2,3,0.0,30276.95,42,WALIGORA
2020-02-10,5.9,-0.3,3.5,7.7,46.9,71,0.07,12322.3,84,WALIGORA
2020-02-11,2.6,-1.6,0.4,3.3,33.8,75,1.89,29136.52,48,WALIGORA
2020-02-12,1.3,-3.2,-1.3,0.1,27.6,71,0.07,30385.1,43,WALIGORA
