time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,-0.2,-5.1,-3.0,0.0,15.0,3,0.0,23452.52,34,WIELKA_SOWA
2020-01-02,1.3,-6.2,-3.1,0.0,18.9,2,0.0,24099.05,10,WIELKA_SOWA
2020-01-03,-0.9,-6.8,-4.1,0.2,25.3,51,0.0,10856.35,63,WIELKA_SOWA
2020-01-04,0.4,-2.9,-1.2,4.5,31.6,73,2.45,697.08,90,WIELKA_SOWA
2020-01-05,-2.7,-10.0,-4.9,0.4,28.6,71,0.28,23521.44,50,WIELKA_SOWA
2020-01-06,-2.8,-12.5,-5.6,0.3,14.3,71,0.21,13416.51,81,WIELKA_SOWA
2020-01-07,-2.4,-7.1,-4.8,0.0,17.6,3,0.0,24594.32,46,WIELKA_SOWA
2020-01-08,-1.0,-3.4,-2.2,1.1,24.2,53,0.0,1536.79,100,WIELKA_SOWA
2020-01-09,1.3,-1.5,-0.1,7.4,21.9,61,0.0,0.0,100,WIELKA_SOWA
2020-01-10,1.4,-1.1,0.1,0.0,21.2,3,0.0,18550.13,66,WIELKA_SOWA
2020-01-11,1.1,-2.3,-0.8,0.2,17.8,51,0.0,639.31,94,WIELKA_SOWA
2020-01-12,-1.1,-4.7,-3.0,0.0,25.0,3,0.0,24793.31,89,WIELKA_SOWA
2020-01-13,-1.5,-4.1,-2.8,0.0,22.9,3,0.0,2048.43,93,WIELKA_SOWA
2020-01-14,-1.7,-4.2,-3.0,0.0,22.3,3,0.0,20592.92,89,WIELKA_SOWA
2020-01-15,0.4,-4.9,-3.4,0.0,24.5,3,0.0,25512.92,75,WIELKA_SOWA
2020-01-16,1.3,-6.0,-3.1,0.0,22.3,3,0.0,24698.24,44,WIELKA_SOWA
2020-01-17,2.3,-5.6,-1.6,0.0,21.6,3,0.0,25989.27,35,WIELKA_SOWA
2020-01-18,-2.6,-4.6,-3.7,1.0,20.4,73,0.77,0.0,100,WIELKA_SOWA
2020-01-19,-1.0,-4.8,-2.7,0.8,15.0,71,0.49,1967.0,100,WIELKA_SOWA
2020-01-20,-1.3,-8.7,-3.4,0.4,14.8,73,0.28,11705.61,72,WIELKA_SOWA
2020-01-21,-1.9,-8.3,-5.4,0.0,15.3,3,0.0,26695.4,48,WIELKA_SOWA
2020-01-22,-1.8,-7.8,-5.2,0.0,18.4,3,0.0,9270.76,99,WIELKA_SOWA
2020-01-23,-2.4,-5.3,-3.6,0.0,18.0,3,0.0,25465.27,85,WIELKA_SOWA
2020-01-24,-5.1,-7.7,-6.4,0.0,21.8,3,0.0,15103.89,78,WIELKA_SOWA
2020-01-25,-3.2,-7.4,-6.3,0.0,15.1,3,0.0,26936.17,69,WIELKA_SOWA
2020-01-26,-3.8,-7.7,-6.1,0.0,15.3,3,0.0,17365.42,100,WIELKA_SOWA
2020-01-27,-1.2,-5.5,-3.2,0.3,18.8,51,0.0,22693.1,100,WIELKA_SOWA
2020-01-28,0.5,-3.6,-1.9,4.5,32.8,73,2.52,13798.85,98,WIELKA_SOWA
2020-01-29,-0.7,-4.5,-3.1,0.3,27.1,71,0.14,22490.98,76,WIELKA_SOWA
2020-01-30,0.8,-4.4,-1.7,1.2,27.9,73,0.84,0.0,95,WIELKA_SOWA
2020-01-31,6.4,-2.2,2.2,1.2,28.5,51,0.0,21504.57,93,WIELKA_SOWA
2020-02-01,7.8,2.1,5.0,3.5,28.0,55,0.0,17395.21,99,WIELKA_SOWA
2020-02-02,4.7,0.6,2.1,6.9,25.1,73,0.35,4536.7,88,WIELKA_SOWA
2020-02-03,4.5,1.1,2.5,4.2,23.0,71,0.07,24650.2,89,WIELKA_SOWA
2020-02-04,1.2,-2.4,-0.7,16.0,29.5,75,7.0,10849.14,88,WIELKA_SOWA
2020-02-05,-2.2,-6.5,-3.9,6.1,34.6,73,4.27,17050.97,82,WIELKA_SOWA
2020-02-06,-1.6,-8.5,-4.2,0.6,19.3,71,0.42,8286.12,89,WIELKA_SOWA
2020-02-07,-0.7,-2.2,-1.4,1.6,17.1,71,0.77,0.0,100,WIELKA_SOWA
2020-02-08,-0.6,-4.3,-2.5,0.0,21.6,3,0.0,30191.64,25,WIELKA_SOWA
2020-02-09,2.4,-5.5,-2.0,0.0,34.1,3,0.0,30298.89,45,WIELKA_SOWA
2020-02-10,4.0,-2.2,1.6,7.9,42.4,71,0.14,10828.04,87,WIELKA_SOWA
2020-02-11,0.8,-3.4,-1.3,4.7,31.4,75,2.87,28051.49,55,WIELKA_SOWA
2020-02-12,-0.4,-5.0,-3.1,0.4,27.3,71,0.28,28118.38,55,WIELKA_SOWA
2020-02-13,-0.4,-5.6,-2.7,1.0,25.3,73,0.63,25248.67,79,WIELKA_SOWA
2020-02-14,2.4,-2.3,-0.2,0.9,19.7,71,0.21,15258.9,86,WIELKA_SOWA
2020-02-15,2.3,-2.8,-0.1,0.0,21.4,3,0.0,20825.46,85,WIELKA_SOWA
2020-02-16,5.9,-0.3,3.0,0.4,32.4,51,0.0,20650.82,91,WIELKA_SOWA
2020-02-17,7.1,1.8,4.1,1.0,30.5,51,0.0,12599.04,89,WIELKA_SOWA
2020-02-18,3.0,-1.7,1.2,0.5,28.5,51,0.0,27889.04,55,WIELKA_SOWA
2020-02-19,1.6,-3.4,-1.4,2.0,30.1,71,0.07,17435.41,66,WIELKA_SOWA
2020-02-20,1.7,-4.2,-0.9,1.0,21.3,73,0.7,28909.49,75,WIELKA_SOWA
2020-02-21,0.8,-4.3,-0.9,4.3,28.8,75,2.03,28075.81,58,WIELKA_SOWA
2020-02-22,4.7,-4.4,0.7,0.3,30.8,51,0.0,17509.14,84,WIELKA_SOWA
2020-02-23,5.9,3.1,4.1,16.2,34.0,63,0.0,141.7,99,WIELKA_SOWA
2020-02-24,3.1,-1.7,0.4,2.8,35.4,71,0.28,27979.03,80,WIELKA_SOWA
2020-02-25,5.0,0.4,2.9,6.7,27.0,53,0.0,0.0,100,WIELKA_SOWA
2020-02-26,1.6,-3.5,-0.4,1.5,25.3,73,0.35,21976.42,86,WIELKA_SOWA
2020-02-27,0.6,-4.0,-2.2,1.7,21.0,73,1.19,33561.94,80,WIELKA_SOWA
2020-02-28,-0.5,-5.2,-2.8,2.5,25.1,73,1.75,32400.0,65,WIELKA_SOWA
2020-02-29,0.3,-5.7,-2.1,0.3,29.6,71,0.21,9684.8,97,WIELKA_SOWA
2020-03-01,5.0,-1.1,1.6,1.5,26.6,53,0.0,35356.09,64,WIELKA_SOWA
2020-03-02,3.0,-0.4,1.2,1.1,25.5,51,0.0,15122.21,89,WIELKA_SOWA
2020-03-03,4.6,-0.9,1.5,6.4,20.6,73,0.35,2516.6,99,WIELKA_SOWA
2020-03-04,2.7,-4.0,-1.1,1.3,12.6,73,0.49,35862.29,42,WIELKA_SOWA
2020-03-05,3.8,-4.4,-0.6,0.0,18.7,3,0.0,27037.59,71,WIELKA_SOWA
2020-03-06,3.8,-0.8,1.3,3.2,25.9,73,0.84,6462.19,92,WIELKA_SOWA
2020-03-07,1.1,-1.1,-0.1,1.1,23.8,71,0.21,9222.42,97,WIELKA_SOWA
2020-03-08,2.8,-5.0,-0.6,0.0,14.8,3,0.0,31155.08,53,WIELKA_SOWA
2020-03-09,4.2,-1.5,0.9,0.6,15.3,51,0.0,3306.13,96,WIELKA_SOWA
2020-03-10,3.6,-2.2,0.4,1.1,32.1,51,0.0,9407.6,89,WIELKA_SOWA
2020-03-11,6.2,0.8,3.6,5.4,26.0,55,0.0,6400.86,96,WIELKA_SOWA
2020-03-12,10.8,2.9,6.1,2.2,39.1,55,0.0,33106.75,79,WIELKA_SOWA
2020-03-13,4.8,-0.3,1.9,1.4,29.2,73,0.35,37544.79,50,WIELKA_SOWA
2020-03-14,1.1,-6.4,-1.8,0.2,16.0,71,0.07,37616.0,42,WIELKA_SOWA
2020-03-15,4.6,-6.8,-1.6,0.0,21.3,3,0.0,38436.01,22,WIELKA_SOWA
2020-03-16,6.0,-3.1,1.1,0.0,26.3,3,0.0,37659.3,81,WIELKA_SOWA
2020-03-17,10.9,-1.4,3.9,0.0,12.2,3,0.0,38686.02,43,WIELKA_SOWA
2020-03-18,11.0,-0.0,4.9,0.0,18.6,3,0.0,39301.69,39,WIELKA_SOWA
2020-03-19,11.2,2.1,6.3,0.3,9.7,51,0.0,20451.26,62,WIELKA_SOWA
2020-03-20,7.6,-0.4,4.5,5.1,19.4,71,0.21,4087.61,86,WIELKA_SOWA
2020-03-21,-0.8,-3.7,-1.7,6.1,25.9,73,3.78,74.52,92,WIELKA_SOWA
2020-03-22,-2.7,-7.4,-5.4,1.6,24.6,73,1.12,33307.68,50,WIELKA_SOWA
2020-03-23,-1.9,-9.4,-5.7,0.0,21.8,3,0.0,40742.82,27,WIELKA_SOWA
2020-03-24,-0.3,-7.3,-4.3,0.0,22.2,0,0.0,41034.52,0,WIELKA_SOWA
2020-03-25,1.0,-7.4,-3.5,0.0,21.3,0,0.0,41266.7,0,WIELKA_SOWA
2020-03-26,3.6,-5.8,-0.7,0.0,17.7,3,0.0,41498.12,43,WIELKA_SOWA
2020-03-27,11.4,-2.3,4.5,0.0,12.6,3,0.0,39644.38,44,WIELKA_SOWA
2020-03-28,10.7,-1.2,5.4,0.0,15.0,2,0.0,41958.21,21,WIELKA_SOWA
2020-03-29,2.4,-4.0,-0.0,3.0,26.7,73,1.96,23157.65,83,WIELKA_SOWA
2020-03-30,-1.0,-8.3,-4.3,0.4,24.9,71,0.28,42413.68,47,WIELKA_SOWA
2020-03-31,-2.5,-7.4,-4.6,1.9,17.4,73,1.33,22733.97,59,WIELKA_SOWA
2020-04-01,2.2,-8.4,-3.6,0.0,16.0,0,0.0,42863.44,2,WIELKA_SOWA
2020-04-02,6.4,-6.1,-0.4,0.0,16.7,0,0.0,43068.48,0,WIELKA_SOWA
2020-04-03,3.6,-4.4,-0.3,0.7,18.6,71,0.14,12307.46,59,WIELKA_SOWA
2020-04-04,6.6,-2.2,2.6,0.0,12.0,3,0.0,20216.36,77,WIELKA_SOWA
2020-04-05,8.7,-1.2,3.6,0.0,17.2,1,0.0,43200.0,2,WIELKA_SOWA
2020-04-06,13.4,0.9,7.6,0.0,25.9,0,0.0,43247.45,0,WIELKA_SOWA
2020-04-07,13.9,3.2,8.0,0.0,17.3,0,0.0,43307.97,1,WIELKA_SOWA
2020-04-08,14.8,0.6,8.3,0.0,12.4,0,0.0,43385.96,0,WIELKA_SOWA
2020-04-09,15.9,0.6,8.4,0.0,18.7,2,0.0,43554.48,10,WIELKA_SOWA
2020-04-10,9.9,2.1,5.7,0.0,11.1,3,0.0,43399.04,52,WIELKA_SOWA
