time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,2.0,-1.6,-0.1,0.0,18.4,3,0.0,22955.69,40,WYSOKA_KOPA
2020-01-02,6.6,0.1,2.5,0.0,23.6,0,0.0,23939.28,0,WYSOKA_KOPA
2020-01-03,1.9,-1.3,0.0,0.3,28.3,51,0.0,4981.55,69,WYSOKA_KOPA
2020-01-04,3.4,-1.7,0.7,11.5,27.1,75,5.25,121.79,93,WYSOKA_KOPA
2020-01-05,-1.5,-4.9,-3.1,1.7,27.8,73,1.19,20484.46,56,WYSOKA_KOPA
2020-01-06,-0.4,-5.2,-2.2,0.0,16.1,3,0.0,5321.71,88,WYSOKA_KOPA
2020-01-07,0.9,-2.6,-0.7,0.0,20.6,3,0.0,22622.59,71,WYSOKA_KOPA
2020-01-08,2.9,-0.2,1.0,0.7,29.6,53,0.0,0.0,99,WYSOKA_KOPA
2020-01-09,5.7,3.2,4.4,5.7,28.2,55,0.0,0.0,100,WYSOKA_KOPA
2020-01-10,5.2,3.8,4.5,0.7,26.7,51,0.0,14704.22,86,WYSOKA_KOPA
2020-01-11,4.0,-0.6,0.9,0.3,20.4,51,0.0,0.0,98,WYSOKA_KOPA
2020-01-12,2.5,-1.0,0.1,0.0,32.7,3,0.0,23726.94,87,WYSOKA_KOPA
2020-01-13,2.4,-0.3,0.5,0.0,21.8,3,0.0,6177.0,99,WYSOKA_KOPA
2020-01-14,3.2,0.7,1.8,0.0,32.3,3,0.0,22884.88,94,WYSOKA_KOPA
2020-01-15,7.6,-0.6,3.3,0.0,34.4,3,0.0,20377.09,70,WYSOKA_KOPA
2020-01-16,8.2,1.0,4.0,0.0,27.6,3,0.0,24766.06,31,WYSOKA_KOPA
2020-01-17,4.3,-0.4,2.3,0.0,35.6,3,0.0,24956.62,41,WYSOKA_KOPA
2020-01-18,2.3,-0.1,1.0,0.4,26.2,71,0.14,687.61,99,WYSOKA_KOPA
2020-01-19,0.4,-0.8,-0.3,1.2,14.9,73,0.84,0.0,100,WYSOKA_KOPA
