time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,weathercode,snowfall_sum,sunshine_duration,cloudcover_mean,location
2020-01-01,1.5,-0.4,0.6,0.1,20.8,51,0.0,1439.61,70,WYSOKA_PIENINY
2020-01-02,8.4,-1.4,1.8,0.0,16.9,3,0.0,24757.38,43,WYSOKA_PIENINY
2020-01-03,6.6,-3.3,-0.5,0.0,6.8,3,0.0,24937.98,24,WYSOKA_PIENINY
2020-01-04,3.1,0.3,1.5,2.3,23.4,73,1.19,7445.5,89,WYSOKA_PIENINY
2020-01-05,-0.3,-3.1,-2.2,2.7,23.0,73,1.96,8188.99,82,WYSOKA_PIENINY
2020-01-06,1.4,-5.1,-2.1,0.0,10.5,3,0.0,12975.23,80,WYSOKA_PIENINY
2020-01-07,2.1,-6.4,-2.8,0.0,11.5,3,0.0,25456.12,17,WYSOKA_PIENINY
2020-01-08,2.8,-3.7,-1.1,0.0,10.7,3,0.0,23441.99,65,WYSOKA_PIENINY
2020-01-09,2.3,-1.2,0.3,6.4,11.5,55,0.0,7200.0,97,WYSOKA_PIENINY
2020-01-10,4.7,-2.3,0.3,0.0,12.3,3,0.0,24817.46,63,WYSOKA_PIENINY
2020-01-11,2.9,0.9,1.8,1.1,19.6,51,0.0,0.0,83,WYSOKA_PIENINY
2020-01-12,4.1,-4.0,0.1,0.0,10.9,3,0.0,24170.03,69,WYSOKA_PIENINY
2020-01-13,4.1,-4.2,-0.4,0.0,11.2,3,0.0,13403.87,96,WYSOKA_PIENINY
2020-01-14,3.3,-3.4,-1.4,0.0,13.7,3,0.0,24956.26,46,WYSOKA_PIENINY
2020-01-15,7.0,-4.4,-0.5,0.0,13.7,2,0.0,26477.23,33,WYSOKA_PIENINY
2020-01-16,5.8,-2.4,1.2,0.0,13.1,3,0.0,10624.08,77,WYSOKA_PIENINY
2020-01-17,4.8,-2.6,1.0,0.0,22.7,3,0.0,21667.73,65,WYSOKA_PIENINY
2020-01-18,4.6,-2.3,0.5,0.0,11.5,3,0.0,26714.89,82,WYSOKA_PIENINY
2020-01-19,0.9,-1.7,-0.1,2.2,9.6,71,1.54,0.0,99,WYSOKA_PIENINY
2020-01-20,1.1,-1.5,0.1,0.7,9.7,71,0.49,0.0,94,WYSOKA_PIENINY
2020-01-21,5.8,-4.2,0.1,0.0,11.7,3,0.0,27446.81,32,WYSOKA_PIENINY
2020-01-22,5.2,-2.3,0.8,0.7,22.1,71,0.56,18016.88,56,WYSOKA_PIENINY
2020-01-23,2.0,-4.3,-1.1,0.3,20.0,71,0.21,25965.75,51,WYSOKA_PIENINY
2020-01-24,6.4,-5.4,-1.4,0.0,6.8,0,0.0,27860.79,3,WYSOKA_PIENINY
2020-01-25,4.5,-5.4,-1.9,0.0,7.3,2,0.0,27986.27,16,WYSOKA_PIENINY
2020-01-26,4.3,-6.1,-2.0,0.1,7.8,71,0.07,28076.93,64,WYSOKA_PIENINY
2020-01-27,6.2,-4.5,-0.5,0.1,8.1,51,0.0,28233.27,28,WYSOKA_PIENINY
2020-01-28,3.5,-3.1,-0.3,2.7,15.6,75,1.89,10479.26,93,WYSOKA_PIENINY
2020-01-29,2.8,-1.0,0.6,0.1,25.9,71,0.07,26478.51,76,WYSOKA_PIENINY
2020-01-30,4.1,-0.9,1.1,0.1,22.6,71,0.07,14079.54,87,WYSOKA_PIENINY
2020-01-31,7.1,-0.5,3.8,3.4,32.2,53,0.0,861.9,98,WYSOKA_PIENINY
